City,Lat,Polaris_Obs,Polaris_Flat,Polaris_Error,Sun_Az_Obs,Sun_Az_Flat,Sun_Az_Error,Sun_Elev_Obs,Near_Zenith,Day_Length_Obs
"Reykjavik, Iceland",64.1466,64.4384,64.15,0.29,179.5434,180.0,-0.46,19.5494,no,10.2417
"London, UK",51.5074,51.8017,51.51,0.29,179.6125,180.0,-0.39,32.1657,no,10.9297
"New York City, USA",40.7128,41.013,40.71,0.3,179.9647,180.0,-0.04,43.0406,no,11.2774
"Chicago, USA",41.8781,42.1866,41.88,0.31,181.1014,180.0,1.1,41.8849,no,11.2489
"Los Angeles, USA",34.0522,34.3461,34.05,0.3,178.7079,180.0,-1.29,49.7401,no,-12.5772
"Tokyo, Japan",35.6762,35.9727,35.68,0.29,180.1931,180.0,0.19,47.8491,no,-12.6027
"Dubai, UAE",25.2048,25.5103,25.2,0.31,181.4966,180.0,1.5,58.4025,no,11.5955
Singapore,1.3521,1.6546,1.35,0.3,183.5621,180.0,3.56,82.1982,YES,-12.0182
"Paris, France",48.8566,49.1575,48.86,0.3,180.4124,180.0,0.41,34.8146,no,11.0258
"Berlin, Germany",52.52,52.8221,52.52,0.3,180.6242,180.0,0.62,31.1385,no,10.8872
"Moscow, Russia",55.7558,56.0461,55.76,0.29,179.3471,180.0,-0.65,27.8755,no,10.7405
"Beijing, China",39.9042,40.2036,39.9,0.3,180.5612,180.0,0.56,43.6447,no,-12.6998
"Mumbai, India",19.076,19.3768,19.08,0.3,180.6991,180.0,0.7,64.5198,no,11.7014
"Cairo, Egypt",30.0444,30.3454,30.04,0.31,180.4605,180.0,0.46,53.5963,no,11.5052
"Toronto, Canada",43.6532,43.9537,43.65,0.3,180.0322,180.0,0.03,40.106,no,11.1996
"Mexico City, Mexico",19.4326,19.7366,19.43,0.31,180.4073,180.0,0.41,64.3481,no,-12.3014
"Stockholm, Sweden",59.3293,59.623,59.33,0.29,179.7526,180.0,-0.25,24.3248,no,10.5573
"Helsinki, Finland",60.1699,60.4597,60.17,0.29,179.356,180.0,-0.64,23.475,no,10.5055
"Accra, Ghana",5.6037,5.9004,5.6,0.3,178.1288,180.0,-1.87,78.0654,no,11.9148
"Nairobi, Kenya",-1.2921,-0.9882,14.36,-15.35,184.8596,0.0,-175.14,84.9108,YES,12.0171
"Quito, Ecuador",-0.1807,0.1138,14.54,-14.43,171.8715,0.0,171.87,83.8778,YES,12.0005
"Sydney, Australia",-33.8688,-33.5623,10.47,-44.03,358.1999,0.0,-1.8,62.6037,no,-11.4327
"Perth, Australia",-31.9505,-31.6525,10.64,-42.29,0.3191,0.0,0.32,64.4959,no,-11.476
"Cape Town, South Africa",-33.9249,-33.6217,10.47,-44.09,359.7239,0.0,-0.28,62.4171,no,12.5694
"Johannesburg, South Africa",-26.2041,-25.8962,11.19,-37.09,357.9367,0.0,-2.06,70.1367,no,12.4166
"Santiago, Chile",-33.4489,-33.1476,10.51,-43.66,0.6696,0.0,0.67,62.7971,no,12.5507
"Buenos Aires, Argentina",-34.6037,-34.3062,10.41,-44.72,1.4351,0.0,1.44,61.6503,no,12.5765
"Auckland, New Zealand",-36.8485,-36.5593,10.22,-46.78,1.8544,0.0,1.85,59.6497,no,-11.364
"Lima, Peru",-12.0464,-11.7379,12.8,-24.54,354.5533,0.0,-5.45,84.1684,YES,12.1761
"São Paulo, Brazil",-23.5505,-23.2455,11.46,-34.71,359.3077,0.0,-0.69,72.7214,no,12.364
"Chapel Hill, NC, USA",35.9132,36.2174,35.91,0.31,180.5214,180.0,0.52,47.8449,no,11.3923
