City,Lat,Polaris_Obs,Polaris_Flat,Polaris_Error,Sun_Az_Obs,Sun_Az_Flat,Sun_Az_Error,Sun_Elev_Obs,Sun_Elev_Flat,Sun_Elev_Error,Sun_Elev_Globe,Sun_Elev_Globe_Err,Near_Zenith,Day_Length_Obs
"Reykjavik, Iceland",64.1466,64.4384,56.87,7.57,179.5434,180.0,-0.46,19.5494,32.06,-12.51,19.45,0.1,no,10.2417
"London, UK",51.5074,51.8017,45.82,5.98,179.6125,180.0,-0.39,32.1657,37.35,-5.18,32.09,0.08,no,10.9297
"New York City, USA",40.7128,41.013,38.79,2.22,179.9647,180.0,-0.04,43.0406,43.17,-0.13,42.89,0.15,no,11.2774
"Chicago, USA",41.8781,42.1866,39.46,2.73,181.1014,180.0,1.1,41.8849,42.47,-0.59,41.72,0.16,no,11.2489
"Los Angeles, USA",34.0522,34.3461,35.3,-0.95,178.7079,180.0,-1.29,49.7401,47.53,2.21,49.55,0.19,no,-12.5772
"Tokyo, Japan",35.6762,35.9727,36.1,-0.13,180.1931,180.0,0.19,47.8491,46.4,1.45,47.92,-0.07,no,-12.6027
"Dubai, UAE",25.2048,25.5103,31.44,-5.93,181.4966,180.0,1.5,58.4025,54.43,3.97,58.4,0.0,no,11.5955
Singapore,1.3521,1.6546,24.08,-22.43,183.5621,180.0,3.56,82.1982,80.05,2.15,82.25,-0.05,YES,-12.0182
"Paris, France",48.8566,49.1575,43.92,5.24,180.4124,180.0,0.41,34.8146,38.65,-3.84,34.74,0.07,no,11.0258
"Berlin, Germany",52.52,52.8221,46.59,6.23,180.6242,180.0,0.62,31.1385,36.87,-5.73,31.08,0.06,no,10.8872
"Moscow, Russia",55.7558,56.0461,49.16,6.89,179.3471,180.0,-0.65,27.8755,35.41,-7.53,27.84,0.04,no,10.7405
"Beijing, China",39.9042,40.2036,38.34,1.86,180.5612,180.0,0.56,43.6447,43.66,-0.02,43.7,-0.06,no,-12.6998
"Mumbai, India",19.076,19.3768,29.19,-9.81,180.6991,180.0,0.7,64.5198,60.04,4.48,64.52,-0.0,no,11.7014
"Cairo, Egypt",30.0444,30.3454,33.46,-3.11,180.4605,180.0,0.46,53.5963,50.49,3.11,53.56,0.04,no,11.5052
"Toronto, Canada",43.6532,43.9537,40.52,3.43,180.0322,180.0,0.03,40.106,41.44,-1.33,39.95,0.16,no,11.1996
"Mexico City, Mexico",19.4326,19.7366,29.31,-9.57,180.4073,180.0,0.41,64.3481,59.69,4.66,64.17,0.18,no,-12.3014
"Stockholm, Sweden",59.3293,59.623,52.25,7.37,179.7526,180.0,-0.25,24.3248,33.91,-9.59,24.27,0.05,no,10.5573
"Helsinki, Finland",60.1699,60.4597,53.02,7.44,179.356,180.0,-0.64,23.475,33.58,-10.1,23.43,0.05,no,10.5055
"Accra, Ghana",5.6037,5.9004,25.15,-19.25,178.1288,180.0,-1.87,78.0654,74.8,3.27,78.0,0.07,no,11.9148
"Nairobi, Kenya",-1.2921,-0.9882,23.46,-24.45,184.8596,0.0,-175.14,84.9108,83.41,1.5,84.89,0.02,YES,12.0171
"Quito, Ecuador",-0.1807,0.1138,23.72,-23.61,171.8715,0.0,171.87,83.8778,81.99,1.89,83.78,0.1,YES,12.0005
"Sydney, Australia",-33.8688,-33.5623,17.74,-51.3,358.1999,0.0,-1.8,62.6037,58.13,4.47,62.53,0.07,no,-11.4327
"Perth, Australia",-31.9505,-31.6525,18.0,-49.65,0.3191,0.0,0.32,64.4959,59.96,4.54,64.45,0.05,no,-11.476
"Cape Town, South Africa",-33.9249,-33.6217,17.73,-51.35,359.7239,0.0,-0.28,62.4171,58.08,4.34,62.48,-0.06,no,12.5694
"Johannesburg, South Africa",-26.2041,-25.8962,18.83,-44.73,357.9367,0.0,-2.06,70.1367,65.86,4.28,70.2,-0.06,no,12.4166
"Santiago, Chile",-33.4489,-33.1476,17.79,-50.94,0.6696,0.0,0.67,62.7971,58.53,4.27,62.95,-0.15,no,12.5507
"Buenos Aires, Argentina",-34.6037,-34.3062,17.64,-51.95,1.4351,0.0,1.44,61.6503,57.45,4.2,61.8,-0.15,no,12.5765
"Auckland, New Zealand",-36.8485,-36.5593,17.34,-53.9,1.8544,0.0,1.85,59.6497,55.43,4.22,59.55,0.1,no,-11.364
"Lima, Peru",-12.0464,-11.7379,21.22,-32.96,354.5533,0.0,-5.45,84.1684,82.72,1.45,84.35,-0.18,YES,12.1761
"São Paulo, Brazil",-23.5505,-23.2455,19.23,-42.48,359.3077,0.0,-0.69,72.7214,68.79,3.93,72.85,-0.13,no,12.364
"Chapel Hill, NC, USA",35.9132,36.2174,36.22,-0.0,180.5214,180.0,0.52,47.8449,46.24,1.6,47.69,0.15,no,11.3923
