City,Lat,Pol_Obs,Pol_Flat,Pol_Err,Az_Obs,Az_Flat,Az_Err,Elev_Obs,Elev_Flat,Elev_Err,DL_Obs,DL_Flat,DL_Err,Near_Zenith
"Reykjavik, Iceland",64.1466,64.4384,64.15,0.29,179.5434,180.0,-0.46,19.5494,19.45,0.1,10.2417,10.4779,-0.2362,no
"London, UK",51.5074,51.8017,51.51,0.29,179.6125,180.0,-0.39,32.1657,32.09,0.08,10.9297,11.0999,-0.1702,no
"New York City, USA",40.7128,41.013,40.71,0.3,179.9647,180.0,-0.04,43.0406,42.89,0.15,11.2774,11.4095,-0.1321,no
"Chicago, USA",41.8781,42.1866,41.88,0.31,181.1014,180.0,1.1,41.8849,41.72,0.16,11.2489,11.3812,-0.1323,no
"Los Angeles, USA",34.0522,34.3461,34.05,0.3,178.7079,180.0,-1.29,49.7401,49.55,0.19,12.5772,11.5555,1.0217,no
"Tokyo, Japan",35.6762,35.9727,35.68,0.29,180.1931,180.0,0.19,47.8491,47.92,-0.07,12.6027,11.5221,1.0806,no
"Dubai, UAE",25.2048,25.5103,25.2,0.31,181.4966,180.0,1.5,58.4025,58.4,0.0,11.5955,11.7201,-0.1246,no
Singapore,1.3521,1.6546,1.35,0.3,183.5621,180.0,3.56,82.1982,82.25,-0.05,12.0182,12.0916,-0.0734,YES
"Paris, France",48.8566,49.1575,48.86,0.3,180.4124,180.0,0.41,34.8146,34.74,0.07,11.0258,11.1875,-0.1617,no
"Berlin, Germany",52.52,52.8221,52.52,0.3,180.6242,180.0,0.62,31.1385,31.08,0.06,10.8872,11.0638,-0.1766,no
"Moscow, Russia",55.7558,56.0461,55.76,0.29,179.3471,180.0,-0.65,27.8755,27.84,0.04,10.7405,10.9364,-0.1959,no
"Beijing, China",39.9042,40.2036,39.9,0.3,180.5612,180.0,0.56,43.6447,43.7,-0.06,12.6998,11.4286,1.2712,no
"Mumbai, India",19.076,19.3768,19.08,0.3,180.6991,180.0,0.7,64.5198,64.52,-0.0,11.7014,11.8219,-0.1205,no
"Cairo, Egypt",30.0444,30.3454,30.04,0.31,180.4605,180.0,0.46,53.5963,53.56,0.04,11.5052,11.6333,-0.1281,no
"Toronto, Canada",43.6532,43.9537,43.65,0.3,180.0322,180.0,0.03,40.106,39.95,0.16,11.1996,11.3361,-0.1365,no
"Mexico City, Mexico",19.4326,19.7366,19.43,0.31,180.4073,180.0,0.41,64.3481,64.17,0.18,12.3014,11.8162,0.4852,no
"Stockholm, Sweden",59.3293,59.623,59.33,0.29,179.7526,180.0,-0.25,24.3248,24.27,0.05,10.5573,10.7689,-0.2116,no
"Helsinki, Finland",60.1699,60.4597,60.17,0.29,179.356,180.0,-0.64,23.475,23.43,0.05,10.5055,10.7243,-0.2188,no
"Accra, Ghana",5.6037,5.9004,5.6,0.3,178.1288,180.0,-1.87,78.0654,78.0,0.07,11.9148,12.0282,-0.1134,no
"Nairobi, Kenya",-1.2921,-0.9882,-0.52,-0.47,184.8596,0.0,-175.14,84.9108,84.89,0.02,12.0171,12.1311,-0.114,YES
"Quito, Ecuador",-0.1807,0.1138,-0.2,0.31,171.8715,0.0,171.87,83.8778,83.78,0.1,12.0005,12.1145,-0.114,YES
"Sydney, Australia",-33.8688,-33.5623,-15.03,-18.53,358.1999,0.0,-1.8,62.6037,62.53,0.07,11.4327,12.7108,-1.2781,no
"Perth, Australia",-31.9505,-31.6525,-14.01,-17.64,0.3191,0.0,0.32,64.4959,64.45,0.05,11.476,12.667,-1.191,no
"Cape Town, South Africa",-33.9249,-33.6217,-15.06,-18.56,359.7239,0.0,-0.28,62.4171,62.48,-0.06,12.5694,12.7121,-0.1427,no
"Johannesburg, South Africa",-26.2041,-25.8962,-11.14,-14.76,357.9367,0.0,-2.06,70.1367,70.2,-0.06,12.4166,12.5468,-0.1302,no
"Santiago, Chile",-33.4489,-33.1476,-14.8,-18.35,0.6696,0.0,0.67,62.7971,62.95,-0.15,12.5507,12.701,-0.1503,no
"Buenos Aires, Argentina",-34.6037,-34.3062,-15.43,-18.88,1.4351,0.0,1.44,61.6503,61.8,-0.15,12.5765,12.7281,-0.1516,no
"Auckland, New Zealand",-36.8485,-36.5593,-16.69,-19.87,1.8544,0.0,1.85,59.6497,59.55,0.1,11.364,12.7832,-1.4192,no
"Lima, Peru",-12.0464,-11.7379,-4.88,-6.86,354.5533,0.0,-5.45,84.1684,84.35,-0.18,12.1761,12.2972,-0.1211,YES
"São Paulo, Brazil",-23.5505,-23.2455,-9.89,-13.36,359.3077,0.0,-0.69,72.7214,72.85,-0.13,12.364,12.4958,-0.1318,no
"Chapel Hill, NC, USA",35.9132,36.2174,35.91,0.31,180.5214,180.0,0.52,47.8449,47.69,0.15,11.3923,11.5171,-0.1248,no
