city,latitude,polaris_observed,polaris_flat_model,polaris_error,sun_noon_az_observed,sun_noon_az_flat_model,sun_az_error
"Reykjavik, Iceland",64.1466,64.4384,64.15,0.29,179.5434,180.0,-0.46
"London, UK",51.5074,51.8017,51.51,0.29,179.6125,180.0,-0.39
"New York City, USA",40.7128,41.013,40.71,0.3,179.9647,180.0,-0.04
"Chicago, USA",41.8781,42.1866,41.88,0.31,181.1014,180.0,1.1
"Los Angeles, USA",34.0522,34.3461,34.05,0.29,178.7079,180.0,-1.29
"Tokyo, Japan",35.6762,35.9727,35.68,0.3,180.1931,180.0,0.19
"Dubai, UAE",25.2048,25.5103,25.2,0.31,181.4966,180.0,1.5
Singapore,1.3521,1.6546,1.35,0.3,183.5621,180.0,3.56
"Paris, France",48.8566,49.1575,48.86,0.3,180.4124,180.0,0.41
"Berlin, Germany",52.52,52.8221,52.52,0.3,180.6242,180.0,0.62
"Moscow, Russia",55.7558,56.0461,55.76,0.29,179.3471,180.0,-0.65
"Beijing, China",39.9042,40.2036,39.9,0.3,180.5612,180.0,0.56
"Mumbai, India",19.076,19.3768,19.08,0.3,180.6991,180.0,0.7
"Cairo, Egypt",30.0444,30.3454,30.04,0.3,180.4605,180.0,0.46
"Toronto, Canada",43.6532,43.9537,43.65,0.3,180.0322,180.0,0.03
"Mexico City, Mexico",19.4326,19.7366,19.43,0.3,180.4073,180.0,0.41
"Stockholm, Sweden",59.3293,59.623,59.33,0.29,179.7526,180.0,-0.25
"Helsinki, Finland",60.1699,60.4597,60.17,0.29,179.356,180.0,-0.64
"Accra, Ghana",5.6037,5.9004,5.6,0.3,178.1288,180.0,-1.87
"Nairobi, Kenya",-1.2921,-0.9882,14.36,-15.35,184.8596,180.0,4.86
"Quito, Ecuador",-0.1807,0.1138,14.54,-14.43,171.8715,180.0,-8.13
"Sydney, Australia",-33.8688,-33.5623,10.47,-44.04,358.1999,180.0,178.2
"Perth, Australia",-31.9505,-31.6525,10.64,-42.3,0.3191,180.0,-179.68
"Cape Town, South Africa",-33.9249,-33.6217,10.47,-44.09,359.7239,180.0,179.72
"Johannesburg, South Africa",-26.2041,-25.8962,11.19,-37.08,357.9367,180.0,177.94
"Santiago, Chile",-33.4489,-33.1476,10.51,-43.66,0.6696,180.0,-179.33
"Buenos Aires, Argentina",-34.6037,-34.3062,10.41,-44.72,1.4351,180.0,-178.56
"Auckland, New Zealand",-36.8485,-36.5593,10.22,-46.78,1.8544,180.0,-178.15
"Lima, Peru",-12.0464,-11.7379,12.8,-24.54,354.5533,180.0,174.55
"São Paulo, Brazil",-23.5505,-23.2455,11.46,-34.7,359.3077,180.0,179.31
"Chapel Hill, NC, USA",35.9132,36.2174,35.91,0.3,180.5214,180.0,0.52
