city,latitude,longitude,date,solar_noon_utc,polaris_elevation,polaris_azimuth,sun_noon_elevation,sun_noon_azimuth,sunrise_elevation,sunrise_azimuth,sunset_elevation,sunset_azimuth,day_length_hours,jupiter_elevation,jupiter_azimuth,moon_elevation,moon_azimuth,moon_phase_fraction
"Reykjavik, Iceland",64.1466,-21.9426,2026-03-04,2026-03-04 13:37:41.307,64.4384,1.2628,19.5494,179.5434,-0.0,104.7739,0.0,255.6129,10.2417,8.0253,52.3335,-26.4721,346.7744,0.9867
"London, UK",51.5074,-0.1278,2026-03-04,2026-03-04 12:10:51.256,51.8017,0.8807,32.1657,179.6125,0.0,100.3381,-0.0,259.9462,10.9297,0.2414,51.6485,-38.3725,345.8464,0.9881
"New York City, USA",40.7128,-74.006,2026-03-04,2026-03-04 17:07:32.261,41.013,0.7185,43.0406,179.9647,0.0,98.3726,-0.0,261.8674,11.2774,-6.1341,52.4608,-49.4452,339.9741,0.983
"Chicago, USA",41.8781,-87.6298,2026-03-04,2026-03-04 18:05:25.628,42.1866,0.7253,41.8849,181.1014,-0.0,98.5048,-0.0,261.7392,11.2489,-4.8967,52.997,-48.704,340.9453,0.9818
"Los Angeles, USA",34.0522,-118.2437,2026-03-04,2026-03-04 20:01:12.362,34.3461,0.6611,49.7401,178.7079,-0.0,97.5994,-0.0,262.1566,-12.5772,-10.6225,52.766,-55.528,332.9903,0.9795
"Tokyo, Japan",35.6762,139.6503,2026-03-04,2026-03-04 02:53:40.101,35.9727,0.6725,47.8491,180.1931,-0.0,97.6167,-0.0,262.1336,-12.6027,-9.4521,52.73,-51.9952,349.3898,0.9953
"Dubai, UAE",25.2048,55.2708,2026-03-04,2026-03-04 08:33:46.131,25.5103,0.5978,58.4025,181.4966,0.0,97.1618,-0.0,263.0439,11.5955,-15.0127,55.1167,-63.0333,341.3716,0.9913
Singapore,1.3521,103.8198,2026-03-04,2026-03-04 05:18:23.518,1.6546,0.5421,82.1982,183.5621,-0.0,96.1475,0.0,263.6594,-12.0182,-27.7912,63.075,-82.1701,293.1948,0.9938
"Paris, France",48.8566,2.3522,2026-03-04,2026-03-04 12:03:37.085,49.1575,0.8274,34.8146,180.4124,0.0,99.7793,0.0,260.4915,11.0258,-1.0583,52.1768,-40.9983,346.2556,0.9882
"Berlin, Germany",52.52,13.405,2026-03-04,2026-03-04 11:20:12.060,52.8221,0.8939,31.1385,180.6242,0.0,100.6009,-0.0,259.6889,10.8872,1.2693,52.3123,-37.3561,347.5993,0.9889
"Moscow, Russia",55.7558,37.6173,2026-03-04,2026-03-04 09:38:53.668,56.0461,0.9783,27.8755,179.3471,0.0,101.5189,0.0,258.7911,10.7405,2.7203,51.455,-33.7491,347.6946,0.9904
"Beijing, China",39.9042,116.4074,2026-03-04,2026-03-04 04:27:44.322,40.2036,0.7102,43.6447,180.5612,0.0,98.035,-0.0,261.698,-12.6998,-6.6697,52.4859,-48.2291,349.5665,0.9943
"Mumbai, India",19.076,72.8777,2026-03-04,2026-03-04 07:21:24.422,19.3768,0.5749,64.5198,180.6991,0.0,96.8755,-0.0,263.3231,11.7014,-18.8742,56.375,-68.4056,336.9743,0.9923
"Cairo, Egypt",30.0444,31.2357,2026-03-04,2026-03-04 10:07:50.352,30.3454,0.6279,53.5963,180.4605,0.0,97.4571,0.0,262.7563,11.5052,-12.5268,53.8838,-58.5598,341.5075,0.99
"Toronto, Canada",43.6532,-79.3832,2026-03-04,2026-03-04 17:29:14.774,43.9537,0.7526,40.106,180.0322,-0.0,98.7657,-0.0,261.4843,11.1996,-4.3006,52.2945,-46.7708,340.8606,0.9825
"Mexico City, Mexico",19.4326,-99.1332,2026-03-04,2026-03-04 18:48:50.653,19.7366,0.5745,64.3481,180.4073,-0.0,96.6956,-0.0,263.0952,-12.3014,-18.4165,56.4403,-68.2056,321.5359,0.981
"Stockholm, Sweden",59.3293,18.0686,2026-03-04,2026-03-04 10:58:29.548,59.623,1.0764,24.3248,179.7526,0.0,102.6816,-0.0,257.6561,10.5573,5.1061,51.9809,-30.5995,347.8421,0.9892
"Helsinki, Finland",60.1699,24.9384,2026-03-04,2026-03-04 10:29:32.864,60.4597,1.108,23.475,179.356,0.0,103.0245,0.0,257.3205,10.5055,5.4721,51.7192,-29.6451,347.7802,0.9896
"Accra, Ghana",5.6037,-0.187,2026-03-04,2026-03-04 12:10:51.256,5.9004,0.5478,78.0654,178.1288,-0.0,96.4503,0.0,263.7416,11.9148,-26.3265,60.9742,-77.6713,296.2006,0.9881
"Nairobi, Kenya",-1.2921,36.8219,2026-03-04,2026-03-04 09:46:07.839,-0.9882,0.5412,84.9108,184.8596,0.0,96.4611,-0.0,263.7316,12.0171,-28.8499,64.382,-80.7881,266.0029,0.9903
"Quito, Ecuador",-0.1807,-78.4678,2026-03-04,2026-03-04 17:22:00.603,0.1138,0.5465,83.8778,171.8715,-0.0,96.3362,-0.0,263.8566,12.0005,-29.2614,63.5949,-76.1644,263.7548,0.9827
"Sydney, Australia",-33.8688,151.2093,2026-03-04,2026-03-04 02:10:15.075,-33.5623,0.6489,62.6037,358.1999,0.0,97.4735,-0.0,262.305,-11.4327,-37.5448,85.6556,-58.7909,190.6438,0.9958
"Perth, Australia",-31.9505,115.8605,2026-03-04,2026-03-04 04:27:44.322,-31.6525,0.6406,64.4959,0.3191,0.0,97.2672,-0.0,262.515,-11.476,-38.1188,84.6004,-59.6931,194.8971,0.9943
"Cape Town, South Africa",-33.9249,18.4241,2026-03-04,2026-03-04 10:58:29.548,-33.6217,0.6514,62.4171,359.7239,0.0,97.7722,-0.0,262.4713,12.5694,-37.8431,85.878,-55.5909,197.967,0.9892
"Johannesburg, South Africa",-26.2041,28.0473,2026-03-04,2026-03-04 10:22:18.693,-25.8962,0.5997,70.1367,357.9367,0.0,97.1951,0.0,263.0271,12.4166,-36.4042,79.8358,-63.1635,200.7366,0.9898
"Santiago, Chile",-33.4489,-70.6693,2026-03-04,2026-03-04 16:53:03.920,-33.1476,0.6493,62.7971,0.6696,-0.0,97.6145,-0.0,262.6277,12.5507,-37.9755,85.6097,-53.7271,202.3989,0.9832
"Buenos Aires, Argentina",-34.6037,-58.3816,2026-03-04,2026-03-04 16:02:24.724,-34.3062,0.6607,61.6503,1.4351,-0.0,97.7356,0.0,262.5104,12.5765,-38.3926,86.7281,-52.8733,201.9506,0.9842
"Auckland, New Zealand",-36.8485,174.7633,2026-03-04,2026-03-04 00:28:56.683,-36.5593,0.6851,59.6497,1.8544,-0.0,97.7884,0.0,261.9831,-11.364,-39.1858,89.0247,-56.1769,191.7352,0.9967
"Lima, Peru",-12.0464,-77.0428,2026-03-04,2026-03-04 17:22:00.603,-11.7379,0.5505,84.1684,354.5533,0.0,96.482,-0.0,263.7181,12.1761,-32.6137,70.3492,-71.996,223.8098,0.9827
"São Paulo, Brazil",-23.5505,-46.6333,2026-03-04,2026-03-04 15:18:59.698,-23.2455,0.589,72.7214,359.3077,-0.0,96.9539,0.0,263.2628,12.364,-36.1632,78.0111,-63.4086,207.2529,0.9849
"Chapel Hill, NC, USA",35.9132,-79.056,2026-03-04,2026-03-04 17:29:14.774,36.2174,0.6694,47.8449,180.5214,0.0,97.8267,-0.0,262.4,11.3923,-8.7885,53.2298,-54.0207,338.1371,0.9825
