city,latitude,longitude,date,solar_noon_utc,polaris_elevation,polaris_azimuth,sun_noon_elevation,sun_noon_azimuth,sunrise_elevation,sunrise_azimuth,sunset_elevation,sunset_azimuth,day_length_hours,jupiter_elevation,jupiter_azimuth,moon_elevation,moon_azimuth,moon_phase_fraction
"Reykjavik, Iceland",64.1466,-21.9426,2026-03-04,2026-03-04 13:40:26.023,64.445,1.2547,19.5507,180.2674,-0.0,104.7739,0.0,255.6129,10.2417,8.2639,52.9268,-26.548,347.5089,0.9866
"London, UK",51.5074,-0.1278,2026-03-04,2026-03-04 12:13:10.471,51.8072,0.8759,32.1667,180.2937,0.0,100.3381,-0.0,259.9462,10.9297,0.5262,52.1023,-38.465,346.5482,0.9881
"New York City, USA",40.7128,-74.006,2026-03-04,2026-03-04 17:08:41.239,41.0157,0.7165,43.0403,180.3557,0.0,98.3726,-0.0,261.8674,11.2774,-5.9606,52.6629,-49.5208,340.382,0.9829
"Chicago, USA",41.8781,-87.6298,2026-03-04,2026-03-04 18:03:10.951,42.1812,0.7293,41.8896,180.352,-0.0,98.5048,-0.0,261.7392,11.2489,-5.2304,52.599,-48.5614,340.1601,0.9819
"Los Angeles, USA",34.0522,-118.2437,2026-03-04,2026-03-04 20:05:38.287,34.3567,0.6541,49.7484,180.4128,-0.0,97.5994,-0.0,262.6232,11.4367,-9.886,53.4881,-55.9329,334.7322,0.9794
"Tokyo, Japan",35.6762,139.6503,2026-03-04,2026-03-04 02:54:03.727,35.9736,0.6719,47.8488,180.3389,-0.0,98.0918,-0.0,262.1336,11.3749,-9.3883,52.7956,-52.0108,349.5408,0.9953
"Dubai, UAE",25.2048,55.2708,2026-03-04,2026-03-04 08:31:34.807,25.5051,0.601,58.4104,180.4585,0.0,97.1618,-0.0,263.0439,11.5955,-15.4192,54.8055,-62.8688,340.2787,0.9913
Singapore,1.3521,103.8198,2026-03-04,2026-03-04 05:17:23.047,1.6523,0.5434,82.2096,181.7178,-0.0,96.5327,0.0,263.6594,11.9775,-28.0163,63.0084,-81.9468,292.5477,0.9938
"Paris, France",48.8566,2.3522,2026-03-04,2026-03-04 12:03:15.271,49.1567,0.8281,34.8148,180.3024,0.0,99.7793,0.0,260.4915,11.0258,-1.1057,52.1075,-40.9831,346.1417,0.9882
"Berlin, Germany",52.52,13.405,2026-03-04,2026-03-04 11:19:02.599,52.8193,0.8964,31.1396,180.2881,0.0,100.6009,-0.0,259.6889,10.8872,1.1298,52.0842,-37.3144,347.2533,0.9889
"Moscow, Russia",55.7558,37.6173,2026-03-04,2026-03-04 09:42:11.647,56.054,0.9708,27.8779,180.2748,0.0,101.5189,0.0,258.7911,10.7405,3.086,52.1242,-33.8546,348.6412,0.9903
"Beijing, China",39.9042,116.4074,2026-03-04,2026-03-04 04:27:02.023,40.2019,0.7114,43.6456,180.3191,0.0,98.5387,-0.0,261.698,11.2748,-6.7772,52.3628,-48.2023,349.3162,0.9943
