City,Lat,Pol_Obs,Pol_Flat_V1,Pol_Err_V1,Pol_Flat_V2,Pol_Err_V2,Az_Obs,Az_Flat,Az_Err,Elev_Obs,Elev_Flat,Elev_Err,DL_Obs,DL_Flat,DL_Err,Rise_Az_Obs,Rise_Az_Flat,Rise_Az_Err,Set_Az_Obs,Set_Az_Flat,Set_Az_Err,Near_Zenith
"Reykjavik, Iceland",64.1466,64.445,64.15,0.29,64.15,0.29,180.2674,180.0,0.27,19.5507,19.45,0.1,10.2417,10.4779,-0.2362,104.7739,104.81,-0.04,255.6129,255.19,0.42,no
"London, UK",51.5074,51.8072,51.51,0.3,51.51,0.3,180.2937,180.0,0.29,32.1667,32.09,0.08,10.9297,11.0999,-0.1702,100.3381,100.32,0.02,259.9462,259.68,0.27,no
"New York City, USA",40.7128,41.0157,40.71,0.31,40.71,0.31,180.3557,180.0,0.36,43.0403,42.89,0.15,11.2774,11.4095,-0.1321,98.3726,98.46,-0.09,261.8674,261.54,0.33,no
"Chicago, USA",41.8781,42.1812,41.88,0.3,41.88,0.3,180.352,180.0,0.35,41.8896,41.72,0.17,11.2489,11.3812,-0.1323,98.5048,98.61,-0.11,261.7392,261.39,0.35,no
"Los Angeles, USA",34.0522,34.3567,34.05,0.31,34.05,0.31,180.4128,180.0,0.41,49.7484,49.55,0.2,11.4367,11.5555,-0.1188,97.5994,97.73,-0.13,262.6232,262.27,0.35,no
"Tokyo, Japan",35.6762,35.9736,35.68,0.29,35.68,0.29,180.3389,180.0,0.34,47.8488,47.92,-0.07,11.3749,11.5221,-0.1472,98.0918,97.89,0.2,262.1336,262.11,0.02,no
"Dubai, UAE",25.2048,25.5051,25.2,0.31,25.2,0.31,180.4585,180.0,0.46,58.4104,58.4,0.01,11.5955,11.7201,-0.1246,97.1618,97.08,0.08,263.0439,262.92,0.12,no
Singapore,1.3521,1.6523,1.35,0.3,1.35,0.3,181.7178,180.0,1.72,82.2096,82.25,-0.04,11.9775,12.0916,-0.1141,96.5327,96.4,0.13,263.6594,263.6,0.06,YES
"Paris, France",48.8566,49.1567,48.86,0.3,48.86,0.3,180.3024,180.0,0.3,34.8148,34.74,0.07,11.0258,11.1875,-0.1617,99.7793,99.75,0.03,260.4915,260.25,0.24,no
"Berlin, Germany",52.52,52.8193,52.52,0.3,52.52,0.3,180.2881,180.0,0.29,31.1396,31.08,0.06,10.8872,11.0638,-0.1766,100.6009,100.56,0.04,259.6889,259.44,0.25,no
