City,Lat,Lon,Jup_Az_Obs,Jup_Az_Flat,Jup_Az_Err,Jup_Elev_Obs,Jup_Elev_Flat,Jup_Elev_Err,Moon_Az_Obs,Moon_Az_Flat,Moon_Az_Err,Moon_Elev_Obs,Moon_Elev_Flat,Moon_Elev_Err,Moon_Phase_Obs,Near_Zenith
"Reykjavik, Iceland",64.1466,-21.9426,52.93,28.35,24.58,8.26,-15.03,23.29,347.51,15.64,-28.13,-26.55,-54.98,28.43,0.9866,no
"London, UK",51.5074,-0.1278,52.1,10.89,41.21,0.53,-12.11,12.64,346.55,353.83,-7.28,-38.47,-54.98,16.51,0.9881,no
"New York City, USA",40.7128,-74.006,52.66,43.91,8.76,-5.96,-14.38,8.42,340.38,67.71,-87.32,-49.52,-54.98,5.46,0.9829,no
"Chicago, USA",41.8781,-87.6298,52.6,51.6,1.0,-5.23,-16.8,11.56,340.16,81.33,-101.17,-48.56,-54.98,6.42,0.9819,no
"Los Angeles, USA",34.0522,-118.2437,53.49,46.24,7.25,-9.89,-21.39,11.51,334.73,111.94,-137.21,-55.93,-54.98,-0.95,0.9794,no
"Tokyo, Japan",35.6762,139.6503,52.8,312.65,100.15,-9.39,-17.55,8.16,349.54,214.05,135.49,-52.01,-54.98,2.97,0.9953,no
"Dubai, UAE",25.2048,55.2708,54.81,347.99,66.81,-15.42,-7.37,-8.05,340.28,298.43,41.85,-62.87,-54.98,-7.89,0.9913,no
Singapore,1.3521,103.8198,63.01,358.56,64.44,-28.02,-0.53,-27.48,292.55,249.88,42.67,-81.95,-54.98,-26.97,0.9938,YES
"Paris, France",48.8566,2.3522,52.11,9.08,43.03,-1.11,-11.6,10.5,346.14,351.35,-5.21,-40.98,-54.98,14.0,0.9882,no
"Berlin, Germany",52.52,13.405,52.08,3.17,48.92,1.13,-12.15,13.28,347.25,340.3,6.96,-37.31,-54.98,17.67,0.9889,no
"Moscow, Russia",55.7558,37.6173,52.12,348.51,63.61,3.09,-12.87,15.96,348.64,316.08,32.56,-33.85,-54.98,21.13,0.9903,no
"Beijing, China",39.9042,116.4074,52.36,314.88,97.48,-6.78,-14.79,8.01,349.32,237.29,112.02,-48.2,-54.98,6.78,0.9943,no
"Mumbai, India",19.076,72.8777,56.34,346.19,70.15,-18.92,-6.22,-12.71,336.82,280.82,56.0,-68.38,-54.98,-13.4,0.9923,no
"Cairo, Egypt",30.0444,31.2357,53.87,355.27,58.6,-12.55,-8.07,-4.47,341.46,322.46,18.99,-58.55,-54.98,-3.57,0.99,no
"Toronto, Canada",43.6532,-79.3832,52.47,49.76,2.71,-4.16,-15.9,11.74,341.18,73.08,-91.9,-46.83,-54.98,8.15,0.9825,no
"Mexico City, Mexico",19.4326,-99.1332,56.48,22.03,34.46,-18.35,-8.91,-9.43,321.72,92.83,-131.12,-68.26,-54.98,-13.28,0.981,no
"Stockholm, Sweden",59.3293,18.0686,52.38,0.5,51.88,5.3,-13.36,18.66,348.37,335.63,12.74,-30.66,-54.98,24.32,0.9892,no
"Helsinki, Finland",60.1699,24.9384,52.42,356.03,56.39,5.8,-13.53,19.34,348.71,328.76,19.94,-29.74,-54.98,25.24,0.9896,no
"Accra, Ghana",5.6037,-0.187,61.19,1.78,59.41,-25.77,-2.02,-23.75,297.5,353.89,-56.39,-78.22,-54.98,-23.24,0.9881,no
"Nairobi, Kenya",-1.2921,36.8219,64.34,179.58,-115.24,-29.02,-0.5,-28.52,266.1,136.88,129.22,-80.61,-54.98,-25.63,0.9903,YES
"Quito, Ecuador",-0.1807,-78.4678,63.87,180.19,-116.32,-28.24,-0.07,-28.17,263.15,252.17,10.98,-77.24,-54.98,-22.26,0.9826,YES
"Sydney, Australia",-33.8688,151.2093,85.97,134.27,-48.3,-38.05,-19.7,-18.35,191.75,22.49,169.26,-58.71,-54.98,-3.73,0.9958,no
"Perth, Australia",-31.9505,115.8605,84.43,144.24,-59.81,-37.8,-12.27,-25.54,194.21,57.84,136.37,-59.76,-54.98,-4.78,0.9943,no
"Cape Town, South Africa",-33.9249,18.4241,85.82,180.17,-94.36,-37.74,-8.78,-28.96,197.77,155.28,42.5,-55.62,-54.98,-0.64,0.9892,no
"Johannesburg, South Africa",-26.2041,28.0473,79.99,176.83,-96.84,-36.81,-7.28,-29.54,201.66,145.65,56.01,-63.03,-54.98,-8.05,0.9898,no
"Santiago, Chile",-33.4489,-70.6693,85.32,215.06,-129.74,-37.5,-11.98,-25.52,201.52,244.37,-42.85,-53.89,-54.98,1.09,0.9832,no
"Buenos Aires, Argentina",-34.6037,-58.3816,86.23,211.73,-125.5,-37.61,-11.26,-26.35,200.51,232.08,-31.57,-53.13,-54.98,1.85,0.9841,no
"Auckland, New Zealand",-36.8485,174.7633,88.34,129.43,-41.09,-38.25,-34.96,-3.29,189.75,358.94,-169.19,-56.32,-54.98,-1.34,0.9966,no
"Lima, Peru",-12.0464,-77.0428,70.35,193.08,-122.73,-32.89,-4.8,-28.08,224.48,250.74,-26.26,-71.81,-54.98,-16.83,0.9827,YES
"São Paulo, Brazil",-23.5505,-46.6333,78.0,199.55,-121.55,-36.12,-7.74,-28.38,207.15,220.33,-13.18,-63.43,-54.98,-8.45,0.9849,no
"Chapel Hill, NC, USA",35.9132,-79.056,53.17,40.63,12.54,-8.85,-13.65,4.8,338.0,72.76,-94.76,-53.99,-54.98,0.99,0.9825,no
we
