City,Lat,Jup_Elev_Obs,Jup_Elev_Flat,Jup_Elev_Err,Jup_Az_Obs,Jup_Az_Flat,Jup_Az_Err,Moon_Elev_Obs,Moon_Elev_Flat,Moon_Elev_Err,Moon_Az_Obs,Moon_Az_Flat,Moon_Az_Err,Moon_Phase,Jup_Zenith,Moon_Zenith
"Reykjavik, Iceland",64.1466,48.78,48.82,-0.04,180.08,180.0,0.08,27.66,26.05,1.61,177.67,180.0,-2.33,0.9774,no,no
"London, UK",51.5074,61.42,61.45,-0.03,180.03,180.0,0.03,40.8,38.69,2.11,178.31,180.0,-1.69,0.9792,no,no
"New York City, USA",40.7128,72.21,72.25,-0.04,180.07,180.0,0.07,50.39,49.48,0.91,178.7,180.0,-1.3,0.9727,no,no
"Chicago, USA",41.8781,71.04,71.08,-0.04,179.97,180.0,-0.03,48.96,48.31,0.65,178.62,180.0,-1.38,0.9958,no,no
"Los Angeles, USA",34.0522,78.87,78.91,-0.04,179.94,180.0,-0.06,56.34,56.14,0.2,178.78,180.0,-1.22,0.9684,no,no
"Tokyo, Japan",35.6762,77.25,77.29,-0.04,179.88,180.0,-0.12,52.85,54.52,-1.67,178.79,180.0,-1.21,0.9892,no,no
"Dubai, UAE",25.2048,87.72,87.76,-0.04,179.44,180.0,-0.56,68.46,64.99,3.47,178.8,180.0,-1.2,0.9836,YES,no
Singapore,1.3521,68.43,68.39,0.04,0.01,180.0,-179.99,87.05,88.84,-1.79,178.37,180.0,-1.63,0.987,no,YES
"Paris, France",48.8566,64.07,64.11,-0.04,179.89,180.0,-0.11,43.53,41.34,2.19,178.42,180.0,-1.58,0.9794,no,no
"Berlin, Germany",52.52,60.4,60.44,-0.04,180.02,180.0,0.02,40.02,37.67,2.35,178.31,180.0,-1.69,0.9803,no,no
"Moscow, Russia",55.7558,57.17,57.21,-0.04,179.95,180.0,-0.05,37.19,34.44,2.75,178.12,180.0,-1.88,0.9822,no,no
"Beijing, China",39.9042,73.02,73.06,-0.04,180.09,180.0,0.09,49.56,50.29,-0.73,213.38,180.0,33.38,0.9878,no,no
"Mumbai, India",19.076,86.15,86.11,0.04,0.5,180.0,-179.5,75.0,71.12,3.88,179.1,180.0,-0.9,0.9848,YES,no
"Cairo, Egypt",30.0444,82.88,82.92,-0.04,180.45,180.0,0.45,63.11,60.15,2.96,178.88,180.0,-1.12,0.9991,YES,no
"Toronto, Canada",43.6532,69.27,69.31,-0.04,179.88,180.0,-0.12,47.31,46.54,0.77,178.6,180.0,-1.4,0.9722,no,no
"Mexico City, Mexico",19.4326,86.51,86.47,0.04,0.49,180.0,-179.51,71.52,70.76,0.76,178.83,180.0,-1.17,0.9953,YES,no
"Stockholm, Sweden",59.3293,53.59,53.63,-0.04,179.97,180.0,-0.03,33.23,30.86,2.37,178.03,180.0,-1.97,0.9807,no,no
"Helsinki, Finland",60.1699,52.75,52.79,-0.04,179.96,180.0,-0.04,32.51,30.02,2.49,177.88,180.0,-2.12,0.9812,no,no
"Accra, Ghana",5.6037,72.68,72.64,0.04,0.14,180.0,-179.86,87.37,84.59,2.78,178.86,180.0,-1.14,0.9792,no,YES
"Nairobi, Kenya",-1.2921,65.78,65.75,0.03,359.99,0.0,-0.01,88.54,88.52,0.02,176.72,0.0,176.72,0.9822,no,YES
"Quito, Ecuador",-0.1807,66.9,66.86,0.04,0.06,0.0,0.06,88.18,89.63,-1.45,0.7,0.0,0.7,0.9961,no,YES
"Sydney, Australia",-33.8688,33.21,33.17,0.04,359.94,0.0,-0.06,56.32,55.94,0.38,358.77,0.0,-1.23,0.9899,no,no
"Perth, Australia",-31.9505,35.13,35.09,0.04,0.03,0.0,0.03,58.9,57.86,1.04,358.76,0.0,-1.24,0.9877,no,no
"Cape Town, South Africa",-33.9249,33.15,33.11,0.04,359.94,0.0,-0.06,58.64,55.88,2.76,358.88,0.0,-1.12,0.9989,no,no
"Johannesburg, South Africa",-26.2041,40.87,40.83,0.04,360.0,0.0,-0.0,66.3,63.6,2.7,359.02,0.0,-0.98,0.999,no,no
"Santiago, Chile",-33.4489,33.63,33.59,0.04,0.06,0.0,0.06,60.58,56.36,4.22,4.45,0.0,4.45,0.9964,no,no
"Buenos Aires, Argentina",-34.6037,32.47,32.43,0.04,359.98,0.0,-0.02,59.31,55.2,4.11,358.84,0.0,-1.16,0.9968,no,no
"Auckland, New Zealand",-36.8485,30.23,30.19,0.04,359.94,0.0,-0.06,52.88,52.96,-0.08,358.79,0.0,-1.21,0.9912,no,no
"Lima, Peru",-12.0464,55.03,54.99,0.04,0.07,0.0,0.07,78.53,77.76,0.77,49.14,0.0,49.14,0.9962,no,no
"São Paulo, Brazil",-23.5505,43.53,43.49,0.04,0.07,0.0,0.07,70.32,66.26,4.06,358.76,0.0,-1.24,0.9972,no,no
"Chapel Hill, NC, USA",35.9132,77.01,77.05,-0.04,180.0,180.0,0.0,55.16,54.28,0.88,178.71,180.0,-1.29,0.9961,no,no
