city,latitude,longitude,jup_transit_utc,jup_transit_elev,jup_transit_az,moon_transit_utc,moon_transit_elev,moon_transit_az,moon_phase
"Reykjavik, Iceland",64.1466,-21.9426,2026-03-04 21:43:15.159,48.7776,180.0779,2026-03-04 01:56:32.665,27.6588,177.6662,0.9774
"London, UK",51.5074,-0.1278,2026-03-04 20:16:04.435,61.4167,180.0285,2026-03-04 00:29:51.327,40.8028,178.3063,0.9792
"New York City, USA",40.7128,-74.006,2026-03-05 01:10:47.514,72.212,180.067,2026-03-04 05:36:12.326,50.387,178.6995,0.9727
"Chicago, USA",41.8781,-87.6298,2026-03-04 02:09:02.010,71.0434,179.9742,2026-03-04 06:32:02.340,48.961,178.6211,0.9958
"Los Angeles, USA",34.0522,-118.2437,2026-03-05 04:07:06.506,78.8731,179.9374,2026-03-04 08:39:08.030,56.3356,178.7823,0.9684
"Tokyo, Japan",35.6762,139.6503,2026-03-04 10:58:21.026,77.2468,179.8806,2026-03-04 15:39:35.988,52.8518,178.7906,0.9892
"Dubai, UAE",25.2048,55.2708,2026-03-04 16:34:56.616,87.719,179.4446,2026-03-03 20:44:55.766,68.4584,178.8038,0.9836
Singapore,1.3521,103.8198,2026-03-04 13:21:21.764,68.4284,0.0146,2026-03-04 18:09:50.171,87.0543,178.3673,0.987
"Paris, France",48.8566,2.3522,2026-03-04 20:05:54.674,64.0675,179.8884,2026-03-04 00:20:10.952,43.5272,178.4166,0.9794
"Berlin, Germany",52.52,13.405,2026-03-04 19:22:04.619,60.404,180.0197,2026-03-03 23:34:01.313,40.0242,178.3104,0.9803
"Moscow, Russia",55.7558,37.6173,2026-03-04 17:45:20.866,57.168,179.9539,2026-03-03 21:53:22.472,37.1935,178.121,0.9822
"Beijing, China",39.9042,116.4074,2026-03-04 12:31:17.036,73.019,180.0851,2026-03-03 18:00:00.000,49.5635,213.3777,0.9878
"Mumbai, India",19.076,72.8777,2026-03-04 15:24:39.712,86.152,0.5046,2026-03-03 19:33:10.703,75.0036,179.1004,0.9848
"Cairo, Egypt",30.0444,31.2357,2026-03-03 18:15:10.969,82.8759,180.4539,2026-03-03 22:23:44.409,63.1093,178.8791,0.9991
"Toronto, Canada",43.6532,-79.3832,2026-03-05 01:31:58.463,69.2716,179.8841,2026-03-04 05:57:52.660,47.3133,178.601,0.9722
"Mexico City, Mexico",19.4326,-99.1332,2026-03-04 02:54:49.609,86.5107,0.4851,2026-03-04 07:21:37.682,71.5166,178.8336,0.9953
"Stockholm, Sweden",59.3293,18.0686,2026-03-04 19:03:20.601,53.5946,179.9654,2026-03-03 23:13:19.751,33.2346,178.0266,0.9807
"Helsinki, Finland",60.1699,24.9384,2026-03-04 18:35:54.980,52.7539,179.9567,2026-03-03 22:44:25.971,32.5108,177.8761,0.9812
"Accra, Ghana",5.6037,-0.187,2026-03-04 20:16:04.435,72.6791,0.1374,2026-03-04 00:35:07.227,87.3673,178.8577,0.9792
"Nairobi, Kenya",-1.2921,36.8219,2026-03-04 17:48:39.222,65.7836,359.986,2026-03-04 22:45:49.232,88.5426,176.7213,0.9822
"Quito, Ecuador",-0.1807,-78.4678,2026-03-04 01:32:25.400,66.8975,0.0595,2026-03-04 05:57:52.660,88.1752,0.6963,0.9961
"Sydney, Australia",-33.8688,151.2093,2026-03-04 10:12:33.427,33.2077,359.945,2026-03-04 14:57:43.477,56.3239,358.7679,0.9899
"Perth, Australia",-31.9505,115.8605,2026-03-04 12:33:14.581,35.1257,0.0324,2026-03-04 17:23:11.146,58.9038,358.7553,0.9877
"Cape Town, South Africa",-33.9249,18.4241,2026-03-03 19:06:14.469,33.154,359.945,2026-03-05 00:04:18.353,58.6413,358.882,0.9989
"Johannesburg, South Africa",-26.2041,28.0473,2026-03-03 18:27:40.314,40.8749,359.9954,2026-03-04 23:23:54.000,66.3028,359.021,0.999
"Santiago, Chile",-33.4489,-70.6693,2026-03-04 01:01:12.037,33.6292,0.0602,2026-03-05 06:00:00.000,60.5825,4.4526,0.9964
"Buenos Aires, Argentina",-34.6037,-58.3816,2026-03-04 00:12:28.121,32.4745,359.9824,2026-03-05 05:20:41.766,59.3098,358.8428,0.9968
"Auckland, New Zealand",-36.8485,174.7633,2026-03-04 08:38:38.644,30.2283,359.9362,2026-03-04 13:20:52.378,52.8805,358.7917,0.9912
"Lima, Peru",-12.0464,-77.0428,2026-03-04 01:26:40.113,55.0317,0.0692,2026-03-05 06:00:00.000,78.5331,49.1352,0.9962
"São Paulo, Brazil",-23.5505,-46.6333,2026-03-03 23:25:19.710,43.5279,0.0682,2026-03-05 04:31:35.811,70.3191,358.7627,0.9972
"Chapel Hill, NC, USA",35.9132,-79.056,2026-03-04 01:34:52.330,77.0082,180.0017,2026-03-04 05:57:23.274,55.1579,178.7071,0.9961
