City,Lat,Pol_Obs,Pol_Flat,Pol_Err,Sun_Elev_Obs,Sun_Elev_Flat,Sun_Elev_Err,Sun_Az_Err,DL_Obs,DL_Flat,DL_Err,Rise_Az_Err,Set_Az_Err,Jup_Elev_Obs,Jup_Elev_Flat,Jup_Elev_Err,Jup_Az_Obs,Jup_Az_Flat,Jup_Az_Err,Moon_Elev_Obs,Moon_Elev_Flat,Moon_Elev_Err,Moon_Az_Obs,Moon_Az_Flat,Moon_Az_Err,Moon_Phase,NZ_Sun,NZ_Jup,NZ_Moon
"Reykjavik, Iceland",64.1466,64.445,64.15,0.29,19.5507,19.39,0.16,0.27,10.2417,10.4586,-0.2169,-0.2,0.58,48.78,48.82,-0.04,180.08,180.0,0.08,27.66,26.05,1.61,177.67,180.0,-2.33,0.9774,,,
"London, UK",51.5074,51.8072,51.51,0.3,32.1667,32.02,0.15,0.29,10.9297,11.0884,-0.1587,-0.09,0.38,61.42,61.45,-0.03,180.03,180.0,0.03,40.8,38.69,2.11,178.31,180.0,-1.69,0.9792,,,
"New York City, USA",40.7128,41.0157,40.71,0.31,43.0403,42.82,0.22,0.36,11.2774,11.4016,-0.1242,-0.18,0.42,72.21,72.25,-0.04,180.07,180.0,0.07,50.39,49.48,0.91,178.7,180.0,-1.3,0.9727,,,
"Chicago, USA",41.8781,42.1812,41.88,0.3,41.8896,41.65,0.24,0.35,11.2489,11.3729,-0.124,-0.2,0.44,71.04,71.08,-0.04,179.97,180.0,-0.03,48.96,48.31,0.65,178.62,180.0,-1.38,0.9958,,,
"Los Angeles, USA",34.0522,34.3567,34.05,0.31,49.7484,49.48,0.27,0.41,11.4367,11.5493,-0.1126,-0.21,0.43,78.87,78.91,-0.04,179.94,180.0,-0.06,56.34,56.14,0.2,178.78,180.0,-1.22,0.9684,,,
"Tokyo, Japan",35.6762,35.9736,35.68,0.29,47.8488,47.86,-0.01,0.34,11.3749,11.5155,-0.1406,0.12,0.1,77.25,77.29,-0.04,179.88,180.0,-0.12,52.85,54.52,-1.67,178.79,180.0,-1.21,0.9892,,,
"Dubai, UAE",25.2048,25.5051,25.2,0.31,58.4104,58.33,0.08,0.46,11.5955,11.7158,-0.1203,0.01,0.19,87.72,87.76,-0.04,179.44,180.0,-0.56,68.46,64.99,3.47,178.8,180.0,-1.2,0.9836,,Y,
Singapore,1.3521,1.6523,1.35,0.3,82.2096,82.18,0.03,1.72,11.9775,12.0914,-0.1139,0.06,0.13,68.43,68.39,0.04,0.01,0.0,0.01,87.05,88.84,-1.79,178.37,180.0,-1.63,0.987,Y,,Y
"Paris, France",48.8566,49.1567,48.86,0.3,34.8148,34.68,0.13,0.3,11.0258,11.177,-0.1512,-0.08,0.35,64.07,64.11,-0.04,179.89,180.0,-0.11,43.53,41.34,2.19,178.42,180.0,-1.58,0.9794,,,
"Berlin, Germany",52.52,52.8193,52.52,0.3,31.1396,31.01,0.13,0.29,10.8872,11.0518,-0.1646,-0.07,0.36,60.4,60.44,-0.04,180.02,180.0,0.02,40.02,37.67,2.35,178.31,180.0,-1.69,0.9803,,,
