City,Lat,Lon,Transit_UTC,Moon_Dec,Moon_RA,Moon_Elev_Obs,Moon_Elev_Flat,Moon_Elev_Err,Moon_Az_Obs,Moon_Az_Flat,Moon_Az_Err,Near_Zenith
"Reykjavik, Iceland",64.1466,-21.9426,2026-03-04 01:56:33.301,2.8052,170.7612,27.66,28.66,-1.0,177.67,180.0,-2.33,
"London, UK",51.5074,-0.1278,2026-03-04 00:29:56.309,3.181,170.0614,40.8,41.67,-0.87,178.33,180.0,-1.67,
"New York City, USA",40.7128,-74.006,2026-03-04 05:36:12.796,1.8528,172.5297,50.39,51.14,-0.75,178.7,180.0,-1.3,
"Chicago, USA",41.8781,-87.6298,2026-03-04 06:31:59.344,1.6111,172.9775,48.96,49.73,-0.77,178.6,180.0,-1.4,
"Los Angeles, USA",34.0522,-118.2437,2026-03-04 08:39:07.505,1.0608,173.9964,56.34,57.01,-0.67,178.78,180.0,-1.22,
"Tokyo, Japan",35.6762,139.6503,2026-03-04 15:39:24.730,-0.7522,177.3487,52.85,53.57,-0.72,178.71,180.0,-1.29,
"Dubai, UAE",25.2048,55.2708,2026-03-03 20:44:52.003,4.1573,168.2363,68.46,68.95,-0.49,178.76,180.0,-1.24,
Singapore,1.3521,103.8198,2026-03-04 18:10:00.410,-1.3987,178.5448,87.05,87.25,-0.2,179.19,180.0,-0.81,Y
"Paris, France",48.8566,2.3522,2026-03-04 00:20:25.427,3.2222,169.9845,43.53,44.37,-0.84,178.5,180.0,-1.5,
"Berlin, Germany",52.52,13.405,2026-03-03 23:34:09.761,3.4229,169.61,40.02,40.9,-0.88,178.36,180.0,-1.64,
"Moscow, Russia",55.7558,37.6173,2026-03-03 21:53:36.131,3.8592,168.7947,37.19,38.1,-0.91,178.19,180.0,-1.81,
"Beijing, China",39.9042,116.4074,2026-03-03 18:00:00.000,4.8719,166.8926,49.56,54.97,-5.41,213.38,180.0,33.38,
"Mumbai, India",19.076,72.8777,2026-03-03 19:32:51.018,4.4695,167.6501,75.0,75.39,-0.39,178.79,180.0,-1.21,
"Cairo, Egypt",30.0444,31.2357,2026-03-03 22:23:47.204,3.7282,169.0397,63.11,63.68,-0.57,178.9,180.0,-1.1,
"Toronto, Canada",43.6532,-79.3832,2026-03-04 05:57:52.044,1.759,172.7036,47.31,48.11,-0.8,178.6,180.0,-1.4,
"Mexico City, Mexico",19.4326,-99.1332,2026-03-04 07:21:41.709,1.3959,173.3762,71.52,71.96,-0.44,178.89,180.0,-1.11,
"Stockholm, Sweden",59.3293,18.0686,2026-03-03 23:13:09.884,3.514,169.44,33.23,34.18,-0.95,177.98,180.0,-2.02,
"Helsinki, Finland",60.1699,24.9384,2026-03-03 22:44:47.081,3.6372,169.21,32.51,33.47,-0.96,177.98,180.0,-2.02,
"Accra, Ghana",5.6037,-0.187,2026-03-04 00:35:01.435,3.1589,170.1025,87.37,87.56,-0.19,178.34,180.0,-1.66,Y
"Nairobi, Kenya",-1.2921,36.8219,2026-03-04 22:46:05.824,-2.5779,180.7321,88.54,88.71,-0.17,179.4,180.0,-0.6,Y
"Quito, Ecuador",-0.1807,-78.4678,2026-03-04 05:58:11.729,1.7575,172.7063,88.18,88.06,0.12,358.23,0.0,-1.77,Y
"Sydney, Australia",-33.8688,151.2093,2026-03-04 14:57:44.662,-0.5731,177.0173,56.32,56.7,-0.38,358.76,0.0,-1.24,
"Perth, Australia",-31.9505,115.8605,2026-03-04 17:22:55.530,-1.1968,178.1711,58.9,59.25,-0.35,358.88,0.0,-1.12,
"Cape Town, South Africa",-33.9249,18.4241,2026-03-05 00:04:30.677,-2.9113,181.3522,58.64,58.99,-0.35,358.78,0.0,-1.22,
"Johannesburg, South Africa",-26.2041,28.0473,2026-03-04 23:23:59.508,-2.7391,181.0318,66.3,66.54,-0.24,358.96,0.0,-1.04,
"Santiago, Chile",-33.4489,-70.6693,2026-03-05 06:00:00.000,-4.4125,184.1589,60.58,60.96,-0.38,4.45,0.0,4.45,
"Buenos Aires, Argentina",-34.6037,-58.3816,2026-03-05 05:20:57.416,-4.2485,183.851,59.31,59.64,-0.33,358.72,0.0,-1.28,
"Auckland, New Zealand",-36.8485,174.7633,2026-03-04 13:20:57.416,-0.1563,176.2468,52.88,53.31,-0.43,358.76,0.0,-1.24,
"Lima, Peru",-12.0464,-77.0428,2026-03-05 06:00:00.000,-4.4125,184.1589,78.53,82.37,-3.84,49.14,0.0,49.14,
"São Paulo, Brazil",-23.5505,-46.6333,2026-03-05 04:31:15.051,-4.0394,183.4588,70.32,70.49,-0.17,359.02,0.0,-0.98,
"Chapel Hill, NC, USA",35.9132,-79.056,2026-03-04 05:57:32.358,1.7604,172.701,55.16,55.85,-0.69,178.77,180.0,-1.23,
