city,lat,elev,d_flat,H_sun
"Reykjavik, Iceland",64.1466,19.5507,7860.8,2791.0
"London, UK",51.5074,32.1667,6453.8,4059.0
"New York City, USA",40.7128,43.0403,5252.1,4905.0
"Chicago, USA",41.8781,41.8896,5381.9,4827.0
"Los Angeles, USA",34.0522,49.7484,4510.7,5328.0
"Tokyo, Japan",35.6762,47.8488,4691.5,5183.0
"Dubai, UAE",25.2048,58.4104,3525.8,5733.0
Singapore,1.3521,82.2096,870.5,6363.0
"Paris, France",48.8566,34.8148,6158.7,4283.0
"Berlin, Germany",52.52,31.1396,6566.5,3967.0
"Moscow, Russia",55.7558,27.8779,6926.7,3664.0
"Beijing, China",39.9042,43.6456,5162.1,4924.0
"Mumbai, India",19.076,64.5204,2843.5,5967.0
"Cairo, Egypt",30.0444,53.5964,4064.5,5512.0
"Toronto, Canada",43.6532,40.1057,5579.5,4699.0
"Mexico City, Mexico",19.4326,64.3475,2883.2,6004.0
"Stockholm, Sweden",59.3293,24.3253,7324.5,3311.0
"Helsinki, Finland",60.1699,23.4773,7418.1,3222.0
"Accra, Ghana",5.6037,78.0698,1343.8,6360.0
"Nairobi, Kenya",-1.2921,84.9231,576.2,6485.0
"Quito, Ecuador",-0.1807,83.9351,699.9,6587.0
"Sydney, Australia",-33.8688,62.6144,3050.3,5888.0
"Perth, Australia",-31.9505,64.4949,2836.7,5946.0
"Cape Town, South Africa",-33.9249,62.4163,3056.5,5851.0
"Johannesburg, South Africa",-26.2041,70.1472,2197.0,6085.0
"Santiago, Chile",-33.4489,62.7969,3003.5,5843.0
"Buenos Aires, Argentina",-34.6037,61.6553,3132.1,5806.0
"Auckland, New Zealand",-36.8485,59.66,3382.0,5778.0
"Lima, Peru",-12.0464,84.1888,621.0,6102.0
"São Paulo, Brazil",-23.5505,72.7208,1901.6,6113.0
"Chapel Hill, NC, USA",35.9132,47.8454,4717.9,5211.0
