day,obs_dec,model_dec,obs_eot_min,model_eot_min
0,-23.004,-22.998,-4.76,-3.28
1,-22.918,-22.916,-5.23,-3.73
2,-22.825,-22.828,-5.69,-4.17
3,-22.724,-22.733,-6.15,-4.61
4,-22.616,-22.631,-6.6,-5.05
5,-22.5,-22.523,-7.04,-5.47
6,-22.377,-22.408,-7.47,-5.9
7,-22.246,-22.287,-7.9,-6.31
8,-22.109,-22.158,-8.32,-6.72
9,-21.964,-22.024,-8.73,-7.12
10,-21.812,-21.882,-9.13,-7.52
11,-21.652,-21.734,-9.52,-7.9
12,-21.486,-21.58,-9.9,-8.28
13,-21.313,-21.42,-10.27,-8.65
14,-21.133,-21.253,-10.63,-9.01
15,-20.946,-21.08,-10.98,-9.37
16,-20.753,-20.9,-11.32,-9.71
17,-20.553,-20.714,-11.65,-10.04
18,-20.346,-20.523,-11.96,-10.36
19,-20.133,-20.325,-12.26,-10.68
20,-19.914,-20.121,-12.55,-10.98
21,-19.688,-19.911,-12.83,-11.27
22,-19.457,-19.695,-13.09,-11.55
23,-19.219,-19.474,-13.34,-11.82
24,-18.976,-19.247,-13.58,-12.07
25,-18.727,-19.014,-13.8,-12.32
26,-18.472,-18.775,-14.01,-12.55
27,-18.212,-18.531,-14.21,-12.77
28,-17.946,-18.281,-14.39,-12.98
29,-17.675,-18.026,-14.56,-13.18
30,-17.399,-17.766,-14.71,-13.36
31,-17.117,-17.5,-14.85,-13.54
32,-16.831,-17.229,-14.98,-13.69
33,-16.54,-16.953,-15.09,-13.84
34,-16.244,-16.672,-15.19,-13.97
35,-15.943,-16.386,-15.28,-14.1
36,-15.637,-16.096,-15.36,-14.2
37,-15.328,-15.8,-15.42,-14.3
38,-15.013,-15.5,-15.46,-14.38
39,-14.695,-15.195,-15.5,-14.45
40,-14.372,-14.886,-15.52,-14.5
41,-14.046,-14.572,-15.53,-14.55
42,-13.715,-14.254,-15.53,-14.58
43,-13.381,-13.932,-15.51,-14.6
44,-13.043,-13.606,-15.48,-14.6
45,-12.701,-13.276,-15.44,-14.59
46,-12.356,-12.941,-15.39,-14.57
47,-12.008,-12.603,-15.33,-14.54
48,-11.656,-12.261,-15.25,-14.49
49,-11.302,-11.916,-15.16,-14.43
50,-10.944,-11.567,-15.07,-14.36
51,-10.584,-11.214,-14.96,-14.28
52,-10.221,-10.859,-14.84,-14.19
53,-9.855,-10.5,-14.7,-14.08
54,-9.487,-10.138,-14.56,-13.97
55,-9.117,-9.773,-14.41,-13.84
56,-8.744,-9.405,-14.25,-13.7
57,-8.37,-9.034,-14.08,-13.55
58,-7.993,-8.661,-13.9,-13.39
59,-7.614,-8.285,-13.71,-13.22
60,-7.234,-7.906,-13.51,-13.04
61,-6.852,-7.526,-13.3,-12.85
62,-6.468,-7.143,-13.09,-12.65
63,-6.082,-6.758,-12.86,-12.44
64,-5.696,-6.37,-12.63,-12.23
65,-5.308,-5.981,-12.4,-12.0
66,-4.919,-5.591,-12.16,-11.77
67,-4.528,-5.198,-11.91,-11.53
68,-4.137,-4.804,-11.65,-11.28
69,-3.745,-4.409,-11.4,-11.02
70,-3.352,-4.012,-11.13,-10.76
71,-2.958,-3.615,-10.86,-10.49
72,-2.564,-3.216,-10.59,-10.22
73,-2.169,-2.816,-10.31,-9.94
74,-1.774,-2.415,-10.03,-9.65
75,-1.379,-2.014,-9.75,-9.36
76,-0.983,-1.612,-9.46,-9.06
77,-0.588,-1.209,-9.17,-8.76
78,-0.192,-0.806,-8.87,-8.46
79,0.203,-0.403,-8.58,-8.15
80,0.598,0.0,-8.28,-7.84
81,0.993,0.403,-7.98,-7.53
82,1.387,0.806,-7.68,-7.22
83,1.78,1.209,-7.38,-6.9
84,2.173,1.612,-7.08,-6.58
85,2.565,2.014,-6.77,-6.26
86,2.956,2.415,-6.47,-5.94
87,3.346,2.816,-6.17,-5.62
88,3.735,3.216,-5.87,-5.3
89,4.122,3.615,-5.56,-4.98
90,4.509,4.012,-5.26,-4.66
91,4.894,4.409,-4.97,-4.35
92,5.278,4.804,-4.67,-4.03
93,5.66,5.198,-4.38,-3.72
94,6.04,5.591,-4.08,-3.41
95,6.419,5.981,-3.8,-3.1
96,6.796,6.37,-3.51,-2.79
97,7.171,6.758,-3.23,-2.49
98,7.544,7.143,-2.96,-2.19
99,7.915,7.526,-2.68,-1.9
100,8.284,7.906,-2.42,-1.61
101,8.65,8.285,-2.16,-1.33
102,9.015,8.661,-1.9,-1.05
103,9.376,9.034,-1.65,-0.77
104,9.735,9.405,-1.4,-0.51
105,10.092,9.773,-1.16,-0.24
106,10.445,10.138,-0.93,0.01
107,10.796,10.5,-0.7,0.26
108,11.144,10.859,-0.48,0.5
109,11.489,11.214,-0.27,0.74
110,11.83,11.567,-0.06,0.96
111,12.168,11.916,0.13,1.18
112,12.503,12.261,0.33,1.39
113,12.835,12.603,0.51,1.6
114,13.162,12.941,0.69,1.79
115,13.487,13.276,0.86,1.98
116,13.807,13.606,1.02,2.16
117,14.124,13.932,1.17,2.33
118,14.437,14.254,1.32,2.49
119,14.745,14.572,1.46,2.64
120,15.05,14.886,1.58,2.78
121,15.351,15.195,1.7,2.91
122,15.647,15.5,1.81,3.04
123,15.939,15.8,1.91,3.15
124,16.227,16.096,2.01,3.26
125,16.51,16.386,2.09,3.35
126,16.789,16.672,2.16,3.43
127,17.063,16.953,2.22,3.51
128,17.332,17.229,2.28,3.57
129,17.597,17.5,2.32,3.63
130,17.857,17.766,2.35,3.68
131,18.111,18.026,2.37,3.71
132,18.361,18.281,2.39,3.74
133,18.605,18.531,2.39,3.75
134,18.845,18.775,2.39,3.76
135,19.078,19.014,2.37,3.76
136,19.307,19.247,2.35,3.74
137,19.53,19.474,2.31,3.72
138,19.748,19.695,2.27,3.69
139,19.959,19.911,2.21,3.65
140,20.166,20.121,2.15,3.6
141,20.366,20.325,2.08,3.54
142,20.561,20.523,2.01,3.47
