day,obs_eot_min,model_eot_min,error_min
0,-4.76,-3.28,1.48
1,-5.23,-3.73,1.5
2,-5.69,-4.17,1.52
3,-6.15,-4.61,1.54
4,-6.6,-5.05,1.55
5,-7.04,-5.47,1.57
6,-7.47,-5.9,1.58
7,-7.9,-6.31,1.59
8,-8.32,-6.72,1.6
9,-8.73,-7.12,1.6
10,-9.13,-7.52,1.61
11,-9.52,-7.9,1.62
12,-9.9,-8.28,1.62
13,-10.27,-8.65,1.62
14,-10.63,-9.01,1.62
15,-10.98,-9.37,1.62
16,-11.32,-9.71,1.61
17,-11.65,-10.04,1.61
18,-11.96,-10.36,1.6
19,-12.26,-10.68,1.59
20,-12.55,-10.98,1.58
21,-12.83,-11.27,1.56
22,-13.09,-11.55,1.55
23,-13.34,-11.82,1.53
24,-13.58,-12.07,1.51
25,-13.8,-12.32,1.49
26,-14.01,-12.55,1.46
27,-14.21,-12.77,1.44
28,-14.39,-12.98,1.41
29,-14.56,-13.18,1.38
30,-14.71,-13.36,1.35
31,-14.85,-13.54,1.32
32,-14.98,-13.69,1.29
33,-15.09,-13.84,1.25
34,-15.19,-13.97,1.22
35,-15.28,-14.1,1.19
36,-15.36,-14.2,1.15
37,-15.42,-14.3,1.12
38,-15.46,-14.38,1.08
39,-15.5,-14.45,1.05
40,-15.52,-14.5,1.02
41,-15.53,-14.55,0.98
42,-15.53,-14.58,0.95
43,-15.51,-14.6,0.91
44,-15.48,-14.6,0.88
45,-15.44,-14.59,0.85
46,-15.39,-14.57,0.82
47,-15.33,-14.54,0.79
48,-15.25,-14.49,0.76
49,-15.16,-14.43,0.73
50,-15.07,-14.36,0.7
51,-14.96,-14.28,0.67
52,-14.84,-14.19,0.65
53,-14.7,-14.08,0.62
54,-14.56,-13.97,0.6
55,-14.41,-13.84,0.57
56,-14.25,-13.7,0.55
57,-14.08,-13.55,0.53
58,-13.9,-13.39,0.51
59,-13.71,-13.22,0.49
60,-13.51,-13.04,0.47
61,-13.3,-12.85,0.45
62,-13.09,-12.65,0.43
63,-12.86,-12.44,0.42
64,-12.63,-12.23,0.41
65,-12.4,-12.0,0.4
66,-12.16,-11.77,0.39
67,-11.91,-11.53,0.38
68,-11.65,-11.28,0.38
69,-11.4,-11.02,0.37
70,-11.13,-10.76,0.37
71,-10.86,-10.49,0.37
72,-10.59,-10.22,0.37
73,-10.31,-9.94,0.38
74,-10.03,-9.65,0.38
75,-9.75,-9.36,0.39
76,-9.46,-9.06,0.39
77,-9.17,-8.76,0.4
78,-8.87,-8.46,0.41
79,-8.58,-8.15,0.43
80,-8.28,-7.84,0.44
81,-7.98,-7.53,0.45
82,-7.68,-7.22,0.47
83,-7.38,-6.9,0.48
84,-7.08,-6.58,0.5
85,-6.77,-6.26,0.51
86,-6.47,-5.94,0.53
87,-6.17,-5.62,0.55
88,-5.87,-5.3,0.56
89,-5.56,-4.98,0.58
90,-5.26,-4.66,0.6
91,-4.97,-4.35,0.62
92,-4.67,-4.03,0.64
93,-4.38,-3.72,0.66
94,-4.08,-3.41,0.68
95,-3.8,-3.1,0.7
96,-3.51,-2.79,0.72
97,-3.23,-2.49,0.74
98,-2.96,-2.19,0.76
99,-2.68,-1.9,0.78
100,-2.42,-1.61,0.81
101,-2.16,-1.33,0.83
102,-1.9,-1.05,0.85
103,-1.65,-0.77,0.87
104,-1.4,-0.51,0.9
105,-1.16,-0.24,0.92
106,-0.93,0.01,0.94
107,-0.7,0.26,0.96
108,-0.48,0.5,0.99
109,-0.27,0.74,1.01
110,-0.06,0.96,1.03
111,0.13,1.18,1.05
112,0.33,1.39,1.07
113,0.51,1.6,1.09
114,0.69,1.79,1.1
115,0.86,1.98,1.12
116,1.02,2.16,1.14
117,1.17,2.33,1.15
118,1.32,2.49,1.17
119,1.46,2.64,1.18
120,1.58,2.78,1.2
121,1.7,2.91,1.21
122,1.81,3.04,1.22
123,1.91,3.15,1.24
124,2.01,3.26,1.25
125,2.09,3.35,1.26
126,2.16,3.43,1.27
127,2.22,3.51,1.29
128,2.28,3.57,1.3
129,2.32,3.63,1.31
130,2.35,3.68,1.32
131,2.37,3.71,1.34
132,2.39,3.74,1.35
133,2.39,3.75,1.36
134,2.39,3.76,1.37
135,2.37,3.76,1.39
136,2.35,3.74,1.4
137,2.31,3.72,1.41
138,2.27,3.69,1.42
139,2.21,3.65,1.44
140,2.15,3.6,1.45
141,2.08,3.54,1.46
142,2.01,3.47,1.47
143,1.92,3.4,1.48
144,1.82,3.31,1.49
145,1.72,3.22,1.5
146,1.61,3.12,1.51
147,1.49,3.01,1.52
148,1.37,2.9,1.53
149,1.24,2.77,1.54
150,1.1,2.64,1.55
151,0.95,2.51,1.56
152,0.8,2.36,1.57
153,0.64,2.21,1.58
154,0.47,2.06,1.59
