city,lat,r_obs,d_to_sun,elev,H_sun
"Reykjavik, Iceland",64.1466,2878,7861,19.6,2791
"London, UK",51.5074,4285,6454,32.2,4059
"New York City, USA",40.7128,5487,5252,43.0,4905
"Chicago, USA",41.8781,5357,5382,41.9,4827
"Los Angeles, USA",34.0522,6228,4511,49.7,5328
"Tokyo, Japan",35.6762,6047,4691,47.8,5183
"Dubai, UAE",25.2048,7213,3526,58.4,5733
Singapore,1.3521,9868,871,82.2,6363
"Paris, France",48.8566,4580,6159,34.8,4283
"Berlin, Germany",52.52,4172,6567,31.1,3967
"Moscow, Russia",55.7558,3812,6927,27.9,3664
"Beijing, China",39.9042,5577,5162,43.6,4924
"Mumbai, India",19.076,7895,2844,64.5,5967
"Cairo, Egypt",30.0444,6674,4065,53.6,5512
"Toronto, Canada",43.6532,5159,5579,40.1,4699
"Mexico City, Mexico",19.4326,7856,2883,64.3,6004
"Stockholm, Sweden",59.3293,3414,7325,24.3,3311
"Helsinki, Finland",60.1699,3321,7418,23.5,3222
"Accra, Ghana",5.6037,9395,1344,78.1,6360
"Nairobi, Kenya",-1.2921,10163,576,84.9,6485
"Quito, Ecuador",-0.1807,10039,700,83.9,6587
"Sydney, Australia",-33.8688,13789,3050,62.6,5888
"Perth, Australia",-31.9505,13576,2837,64.5,5946
"Cape Town, South Africa",-33.9249,13795,3057,62.4,5851
"Johannesburg, South Africa",-26.2041,12936,2197,70.1,6085
"Santiago, Chile",-33.4489,13742,3004,62.8,5843
"Buenos Aires, Argentina",-34.6037,13871,3132,61.7,5806
"Auckland, New Zealand",-36.8485,14121,3382,59.7,5778
"Lima, Peru",-12.0464,11360,621,84.2,6102
"São Paulo, Brazil",-23.5505,12640,1902,72.7,6113
"Chapel Hill, NC, USA",35.9132,6021,4718,47.8,5211
