lat,f_globe,f_bipolar,weather
90,0.000145842,0.000145842,Ferrel cell - CCW storms
60,0.00012630287693873009,0.00012630287693873009,Ferrel cell - CCW storms
45,0.00010312586718180846,0.00010312586718180846,Ferrel cell - CCW storms
30,7.292099999999999e-05,7.292099999999999e-05,Hadley cell - CCW weak
15,3.774668717584183e-05,3.774668717584183e-05,Hadley cell - CCW weak
0,0.0,0.0,ITCZ - no rotation
-15,-3.774668717584183e-05,-3.774668717584183e-05,Hadley cell - CW weak
-30,-7.292099999999999e-05,-7.292099999999999e-05,Ferrel cell - CW storms
-45,-0.00010312586718180846,-0.00010312586718180846,Ferrel cell - CW storms
-60,-0.00012630287693873009,-0.00012630287693873009,Ferrel cell - CW storms
-90,-0.000145842,-0.000145842,Ferrel cell - CW storms
