city1,city2,globe_km,ae_km,bipolar_km
Reykjavik,London,1890,1935,1935
Reykjavik,New York,4203,4356,4356
Reykjavik,Chicago,4753,4928,4928
Reykjavik,Los Angeles,6932,7142,7142
Reykjavik,Tokyo,8797,8824,8824
Reykjavik,Dubai,6887,7150,7150
Reykjavik,Singapore,11509,11784,11784
Reykjavik,Paris,2233,2287,2287
Reykjavik,Berlin,2388,2470,2470
Reykjavik,Moscow,3307,3420,3420
Reykjavik,Beijing,7883,7960,7960
Reykjavik,Mumbai,8335,8627,8627
Reykjavik,Cairo,5272,5460,5460
Reykjavik,Toronto,4195,4350,4350
Reykjavik,Mexico City,7451,7744,7744
Reykjavik,Stockholm,2134,2211,2211
Reykjavik,Helsinki,2416,2499,2499
Reykjavik,Accra,6739,6807,6807
Reykjavik,Nairobi,8687,9012,9012
Reykjavik,Quito,8479,8786,8786
Reykjavik,Sydney,16616,16650,20013
Reykjavik,Perth,15413,15826,19099
Reykjavik,Cape Town,11463,11751,12398
Reykjavik,Johannesburg,10940,11302,12510
Reykjavik,Santiago,11657,12040,12941
Reykjavik,Buenos Aires,11436,11681,12209
Reykjavik,Auckland,16781,16897,19894
Reykjavik,Lima,9650,9996,9996
Reykjavik,São Paulo,9985,10098,10492
Reykjavik,Chapel Hill,4891,5072,5072
London,New York,5570,5951,5951
London,Chicago,6353,6712,6712
London,Los Angeles,8755,9072,9072
London,Tokyo,9558,9721,9721
London,Dubai,5474,5941,5941
London,Singapore,10848,11668,11668
London,Paris,343,352,352
London,Berlin,932,1003,1003
London,Moscow,2501,2657,2657
London,Beijing,8141,8415,8415
London,Mumbai,7192,7805,7805
London,Cairo,3512,3751,3751
London,Toronto,5712,6061,6061
London,Mexico City,8929,9519,9519
London,Stockholm,1433,1490,1490
London,Helsinki,1821,1900,1900
London,Accra,5105,5111,5111
London,Nairobi,6821,7214,7214
London,Quito,9220,10087,10087
London,Sydney,16994,17669,19558
London,Perth,14479,15926,17699
London,Cape Town,9671,9828,9930
London,Johannesburg,9070,9379,9724
London,Santiago,11673,12961,13925
London,Buenos Aires,11127,12174,12868
London,Auckland,18336,18393,20023
London,Lima,10170,11197,11197
London,São Paulo,9497,10177,11056
London,Chapel Hill,6252,6686,6686
New York,Chicago,1144,1292,1292
New York,Los Angeles,3935,4464,4464
New York,Tokyo,10851,11041,11041
New York,Dubai,11009,11500,11500
New York,Singapore,15333,15353,15353
New York,Paris,5837,6263,6263
New York,Berlin,6386,6742,6742
New York,Moscow,7511,7749,7749
New York,Beijing,10990,11018,11018
New York,Mumbai,12538,12845,12845
New York,Cairo,9023,9692,9692
New York,Toronto,550,596,596
New York,Mexico City,3359,3710,3710
New York,Stockholm,6320,6567,6567
New York,Helsinki,6619,6841,6841
New York,Accra,8240,9468,9468
New York,Nairobi,11843,13154,13154
New York,Quito,4569,4588,4588
New York,Sydney,15988,18079,18771
New York,Perth,18701,19005,19975
New York,Cape Town,12564,15061,15568
New York,Johannesburg,12840,15069,16272
New York,Santiago,8253,8271,8273
New York,Buenos Aires,8526,8713,8742
New York,Auckland,14194,16900,17240
New York,Lima,5875,5888,5888
New York,São Paulo,7686,8168,8422
New York,Chapel Hill,692,736,736
Chicago,Los Angeles,2804,3171,3171
Chicago,Tokyo,10141,10450,10450
Chicago,Dubai,11638,11932,11932
Chicago,Singapore,15072,15156,15156
Chicago,Paris,6650,7046,7046
Chicago,Berlin,7084,7393,7393
