star,mean_delta,std_delta,mean_layer_height_km,std_height_km,n_observations,status
Sirius,-0.013,0.026,6494.6,7.3,10,CONFORMING
Canopus,-0.018,0.0,6498.5,1.0,5,CONFORMING
Arcturus,-0.001,0.126,6502.2,12.6,10,CONFORMING
Vega,-0.008,0.016,6498.0,2.9,10,CONFORMING
Capella,-0.013,0.029,6493.2,9.2,10,CONFORMING
Rigel,0.01,0.025,6502.6,4.0,10,CONFORMING
Procyon,-0.001,0.061,6498.1,6.3,10,CONFORMING
Achernar,0.13,0.0,6512.9,8.2,5,MARGINAL
Betelgeuse,-0.001,0.004,6500.1,0.4,10,CONFORMING
Hadar,-0.124,0.0,6485.8,8.8,5,MARGINAL
Altair,-0.001,0.064,6501.1,6.2,10,CONFORMING
Aldebaran,-0.001,0.054,6499.5,5.3,10,CONFORMING
Antares,-0.016,0.055,6492.5,10.2,8,CONFORMING
Spica,-0.056,0.127,6483.9,22.7,10,CONFORMING
Pollux,-0.0,0.063,6503.3,7.2,10,CONFORMING
Fomalhaut,0.033,0.136,6522.9,32.5,8,CONFORMING
Deneb,-0.036,0.082,6481.9,24.4,10,CONFORMING
Mimosa,-0.143,0.0,6484.2,9.9,5,MARGINAL
Regulus,-0.001,0.13,6499.0,12.7,10,CONFORMING
Alnitak,0.002,0.012,6500.7,1.4,10,CONFORMING
