star,city,obs_lat,star_dec,pred_elev,transit_elev,delta,layer_height_km,status
Sirius,Chapel_Hill_NC,35.91,-16.716,37.374,37.344,-0.03,6495.5,CONFORMING
Sirius,London_UK,51.51,-16.716,21.774,21.744,-0.03,6491.5,CONFORMING
Sirius,Sydney_AU,-33.87,-16.716,72.846,72.873,0.027,6501.0,CONFORMING
Sirius,Cape_Town_ZA,-33.93,-16.716,72.786,72.814,0.028,6501.0,CONFORMING
Sirius,Tokyo_JP,35.68,-16.716,37.604,37.573,-0.031,6495.5,CONFORMING
Sirius,Reykjavik_IS,64.13,-16.716,9.154,9.124,-0.03,6478.8,CONFORMING
Sirius,Nairobi_KE,-1.29,-16.716,74.574,74.544,-0.03,6499.1,CONFORMING
Sirius,Buenos_Aires_AR,-34.61,-16.716,72.106,72.134,0.028,6501.0,CONFORMING
Sirius,Singapore_SG,1.35,-16.716,71.934,71.904,-0.03,6498.9,CONFORMING
Sirius,Anchorage_AK,61.22,-16.716,12.064,12.034,-0.03,6484.1,CONFORMING
Canopus,Sydney_AU,-33.87,-52.696,71.174,71.156,-0.018,6499.3,CONFORMING
Canopus,Cape_Town_ZA,-33.93,-52.696,71.234,71.216,-0.018,6499.3,CONFORMING
Canopus,Nairobi_KE,-1.29,-52.696,38.594,38.575,-0.019,6497.3,CONFORMING
Canopus,Buenos_Aires_AR,-34.61,-52.696,71.914,71.896,-0.018,6499.3,CONFORMING
Canopus,Singapore_SG,1.35,-52.696,35.954,35.935,-0.019,6497.1,CONFORMING
Arcturus,Chapel_Hill_NC,35.91,19.182,73.272,73.145,-0.127,6495.7,MINOR_DEVIATION
Arcturus,London_UK,51.51,19.182,57.672,57.545,-0.127,6490.9,MINOR_DEVIATION
Arcturus,Sydney_AU,-33.87,19.182,36.948,37.073,0.125,6518.9,MINOR_DEVIATION
Arcturus,Cape_Town_ZA,-33.93,19.182,36.888,37.014,0.126,6519.1,MINOR_DEVIATION
Arcturus,Tokyo_JP,35.68,19.182,73.502,73.373,-0.129,6495.7,MINOR_DEVIATION
Arcturus,Reykjavik_IS,64.13,19.182,45.052,44.926,-0.126,6485.7,MINOR_DEVIATION
Arcturus,Nairobi_KE,-1.29,19.182,69.528,69.653,0.125,6505.3,MINOR_DEVIATION
Arcturus,Buenos_Aires_AR,-34.61,19.182,36.208,36.334,0.126,6519.5,MINOR_DEVIATION
Arcturus,Singapore_SG,1.35,19.182,72.168,72.294,0.126,6504.6,MINOR_DEVIATION
Arcturus,Anchorage_AK,61.22,19.182,47.962,47.836,-0.126,6487.1,MINOR_DEVIATION
Vega,Chapel_Hill_NC,35.91,38.784,87.126,87.109,-0.017,6499.9,CONFORMING
Vega,London_UK,51.51,38.784,77.274,77.29,0.016,6500.4,CONFORMING
Vega,Sydney_AU,-33.87,38.784,17.346,17.329,-0.017,6493.8,CONFORMING
