year,mag_lat,dist_from_polaris,linear,quadratic,exponential
1900,70.5,20.24,22.57,19.91,23.2
1910,71.0,19.74,21.18,19.76,21.13
1920,71.4,19.34,19.79,19.41,19.25
1930,72.0,18.74,18.4,18.84,17.53
1940,73.0,17.74,17.01,18.07,15.97
1950,74.0,16.74,15.62,17.1,14.54
1960,75.1,15.64,14.23,15.91,13.24
1970,76.2,14.54,12.84,14.52,12.06
1980,77.3,13.44,11.45,12.92,10.99
1990,78.5,12.24,10.06,11.11,10.01
2000,81.0,9.74,8.67,9.09,9.11
2005,82.7,8.04,7.98,8.01,8.7
2010,85.0,5.74,7.28,6.87,8.3
2015,86.0,4.74,6.59,5.68,7.92
2020,86.5,4.24,5.9,4.44,7.56
2025,86.8,3.94,5.2,3.14,7.21
