Location,r_km,z_km,v_r_mm_s,v_theta_m_s,v_z_mm_s
"North Pole, surface",0.1,0,16221.947152112976,0.007292123516990375,-0.0
"Chapel Hill, surface",6020.9425759999995,0,4.474803940304038e-06,439.05456952898203,-0.0
"Equator, surface",10018.8,0,1.6161124205223947e-06,730.5832709202317,-0.0
"South Pole, surface",20015,0,4.0494103946429326e-07,1459.5185219256234,-0.0
"Chapel Hill, 10km alt",6020.9425759999995,10,4.474785424831383e-06,438.3791009604759,-1.4864069432145945e-08
"Chapel Hill, 100km alt",6020.9425759999995,100,4.472953024884807e-06,432.2998838439208,-1.4857982677710252e-07
"Chapel Hill, 1000km alt",6020.9425759999995,1000,4.295833659526888e-06,371.5077126783694,-1.4269638367422585e-06
"Equator, 500km",10018.8,500,1.6100934646292015e-06,674.3845577725216,-1.6070721689515728e-07
"North Pole, 3000km",0.1,3000,6.00812856484311e-10,0.003926528047610202,-3.604877138905866e-05
Sun shell height,6020.9425759999995,5733,1.6996947586541013e-06,51.80843920441988,-3.2368187965139513e-06
