day,declination,sun_height_km,sun_radius_km
0,-22.99756132184893,4463.939813785482,13939.911473651777
1,-22.91618830025021,4489.509179139779,13948.969918416147
2,-22.828034009847425,4515.08164889675,13958.783254023785
3,-22.733124536913373,4540.649655751173,13969.348576550803
4,-22.631487966688045,4566.205633718468,13980.662759548286
5,-22.523154375067747,4591.7420203736,13992.72245496746
6,-22.408155819705154,4617.2512590889155,14005.524094150422
7,-22.286526330522953,4642.725801270276,14019.063888886185
8,-22.158301899643813,4668.158108590803,14033.337832531652
9,-22.02352047073978,4693.540655221594,14048.341701197249
10,-21.882221927804075,4718.865930058736,14064.07105499685
11,-21.734448083348838,4744.126438945958,14080.521239361608
12,-21.580242666032092,4769.31470689228,14097.687386417307
13,-21.419651307717746,4794.423280283976,14115.56441642486
14,-21.252721529972398,4819.44472909022,14134.147039283473
15,-21.079502730002915,4844.371649061755,14153.429756096077
16,-20.90004616603904,4869.196663921926,14173.406860796535
17,-20.714404942165228,4893.912427549439,14194.072441838167
18,-20.522633992606295,4918.511626152199,14215.420383943067
19,-20.324790065471518,4942.986980431575,14237.444369911711
20,-20.120931705961944,4967.331247736467,14260.137882492316
21,-19.911119239045906,4991.537224206517,14283.49420630941
22,-19.695414751607935,5015.59774690385,14307.506429851004
23,-19.473882074076204,5039.505695932705,14332.167447513837
24,-19.24658676153412,5063.25399654632,14357.469961706021
25,-19.013596074321494,5086.835621240472,14383.406485006532
26,-18.77497895813113,5110.243591833023,14409.969342380842
27,-18.53080602360669,5133.470981528874,14437.150673452103
28,-18.281149525447866,5156.510916969723,14464.942434827144
29,-18.026083341029043,5179.356580267996,14493.336402476647
30,-17.76568294853782,5202.001211024371,14522.32417416877
31,-17.50002540463976,5224.438108328291,14551.897171955501
32,-17.22918932167614,5246.660632740867,14582.046644711012
33,-16.95325484440124,5268.662208259601,14612.763670721255
34,-16.672303626266228,5290.436324264326,14644.039160324044
35,-16.38641880525664,5311.976537443802,14675.86385859883
36,-16.095684979290443,5333.276473702404,14708.22834810539
37,-15.800188181184206,5354.329830046307,14741.123051670575
38,-15.50001585319457,5375.130376448654,14774.53823522238
39,-15.195256821142696,5395.6719576931155,14808.464010670396
40,-14.886001268129274,5415.94849519532,14842.890338831849
41,-14.572340707847884,5435.953988801602,14877.807032402374
42,-14.25436795750462,5455.682518564546,14913.203758970585
43,-13.932177110352004,5475.128246494793,14949.070044075615
44,-13.605863507845259,5494.285418288598,14985.395274306666
45,-13.275523711429246,5513.148365030616,15022.168700443697
46,-12.941255473964384,5531.711504871433,15059.379440638284
47,-12.603157710799996,5549.969344679315,15097.016483633744
48,-12.26133047050367,5567.916481665726,15135.068692023531
49,-11.915874905255286,5585.547604984087,15173.524805546982
50,-11.566893240914444,5602.857497301351,15212.373444421404
51,-11.214488746770197,5619.841036341893,15251.603112709541
52,-10.858765704982007,5636.493196403273,15291.202201721404
53,-10.49982937972097,5652.8090498434185,15331.158993449462
54,-10.137785986020464,5668.783768538801,15371.461664036202
55,-9.772742658345402,5684.412625313151,15412.098287272991
56,-9.404807418889423,5699.690995336304,15453.056838129229
57,-9.034089145609393,5714.614357492764,15494.325196310763
58,-8.66069754000666,5729.178295719576,15535.891149846459
59,-8.284743094664616,5743.378500313109,15577.742398701936
60,-7.906337060552158,5757.210769204361,15619.866558419333
61,-7.5255914141027525,5770.67100920243,15662.251163782083
62,-7.14261882407879,5783.755237205745,15704.883672503549
63,-6.757532618231095,5796.4595813807355,15747.751468938515
64,-6.370446749763421,5808.780282307565,15790.841867816336
65,-5.981475763611859,5820.713694092611,15834.142117994728
66,-5.590734762549153,5832.256285447334,15877.63940623303
67,-5.198339373123935,5843.404640733252,15921.320860983844
68,-4.8044057114449705,5854.155460972674,15965.173556201946
69,-4.409050348820536,5864.505564824927,16009.184515169298
70,-4.012390277263084,5874.451889527766,16053.340714335074
71,-3.6145428748694397,5883.991491803688,16097.629087169535
72,-3.2156258710867176,5893.121548730905,16142.036528030627
73,-2.815757311874296,5901.83935857868,16186.549896042154
74,-2.415055524772111,5910.1423416068255,16231.156018982369
75,-2.013639083885639,5918.028040829082,16275.841697181851
76,-1.6116267747979078,5925.494122740179,16320.593707429496
77,-1.2091375594189322,5932.538378006361,16365.398806885485
78,-0.8062905407829719,5939.158722119166,16410.24373700004
79,-0.4032049278040263,5945.353196012258,16455.115227436854
80,0.0,5951.119966641153,16500.0
81,0.4032049278040263,5956.457327525644,16544.884772563146
82,0.8062905407829719,5961.3636992547745,16589.75626299996
83,1.2091375594189322,5965.837629954214,16634.601193114515
84,1.6116267747979078,5969.877795715892,16679.406292570504
85,2.013639083885639,5973.483000989756,16724.15830281815
86,2.415055524772111,5976.6521789375665,16768.84398101763
87,2.815757311874296,5979.384391748579,16813.450103957846
88,3.2156258710867176,5981.678830917068,16857.963471969375
89,3.6145428748694397,5983.534817481568,16902.370912830465
90,4.012390277263084,5984.951802225795,16946.659285664926
91,4.409050348820536,5985.929365841167,16990.815484830702
92,4.8044057114449705,5986.467219050881,17034.826443798054
93,5.198339373123935,5986.56520269552,17078.679139016156
94,5.590734762549153,5986.223287780148,17122.36059376697
95,5.981475763611859,5985.441575482887,17165.85788200527
96,6.370446749763421,5984.220297124984,17209.158132183664
97,6.757532618231095,5982.559814102355,17252.248531061487
98,7.14261882407879,5980.460617778637,17295.11632749645
99,7.5255914141027525,5977.923329339798,17337.748836217917
100,7.906337060552158,5974.948699610308,17380.133441580667
101,8.284743094664616,5971.53760883096,17422.257601298064
102,8.66069754000666,5967.691066398396,17464.10885015354
103,9.034089145609393,5963.410210566406,17505.67480368924
104,9.404807418889423,5958.696308109102,17546.94316187077
105,9.772742658345402,5953.550753946062,17587.90171272701
106,10.137785986020464,5947.975070729547,17628.538335963796
107,10.49982937972097,5941.970908393924,17668.841006550538
108,10.858765704982007,5935.540043667426,17708.797798278596
109,11.214488746770197,5928.684379546388,17748.39688729046
110,11.566893240914444,5921.4059447321215,17787.626555578594
111,11.915874905255286,5913.706893030587,17826.475194453018
112,12.26133047050367,5905.589502715046,17864.93130797647
113,12.603157710799996,5897.056175851892,17902.983516366254
114,12.941255473964384,5888.10943758983,17940.620559361716
115,13.275523711429246,5878.7519354126525,17977.831299556303
116,13.605863507845259,5868.9864383558015,18014.604725693334
117,13.932177110352004,5858.815836186966,18050.929955924385
118,14.25436795750462,5848.243138550958,18086.796241029413
119,14.572340707847884,5837.271474079107,18122.192967597628
120,14.886001268129274,5825.904089463447,18157.10966116815
121,15.195256821142696,5814.144348495968,18191.535989329604
122,15.50001585319457,5801.995731073221,18225.461764777618
123,15.800188181184206,5789.461832166552,18258.876948329427
124,16.095684979290443,5776.546360758299,18291.77165189461
125,16.38641880525664,5763.2531387442405,18324.13614140117
126,16.672303626266228,5749.58609980264,18355.960839675958
127,16.95325484440124,5735.5492882302,18387.236329278745
128,17.22918932167614,5721.146857745296,18417.953355288988
129,17.50002540463976,5706.383070258822,18448.1028280445
130,17.76568294853782,5691.262294613021,18477.67582583123
131,18.026083341029043,5675.789005288676,18506.66359752335
132,18.281149525447866,5659.967781081041,18535.057565172858
133,18.53080602360669,5643.803303744897,18562.849326547897
134,18.77497895813113,5627.300356609148,18590.030657619158
135,19.013596074321494,5610.463823161361,18616.59351499347
136,19.24658676153412,5593.298685602655,18642.53003829398
137,19.473882074076204,5575.810023373395,18667.832552486165
138,19.695414751607935,5558.003011650099,18692.493570148996
139,19.911119239045906,5539.882919814025,18716.50579369059
140,20.120931705961944,5521.45510989187,18739.862117507684
141,20.324790065471518,5502.725034969066,18762.55563008829
142,20.522633992606295,5483.69823757612,18784.579616056933
143,20.714404942165228,5464.380348048491,18805.92755816183
144,20.90004616603904,5444.777082860488,18826.593139203465
145,21.079502730002915,5424.894242933666,18846.570243903923
146,21.252721529972398,5404.73771192024,18865.852960716526
147,21.419651307717746,5384.313454462028,18884.43558357514
148,21.580242666032092,5363.627514425405,18902.312613582693
149,21.734448083348838,5342.686013112833,18919.47876063839
150,21.882221927804075,5321.495147451467,18935.92894500315
151,22.02352047073978,5300.061188159383,18951.65829880275
152,22.158301899643813,5278.390477889978,18966.66216746835
153,22.286526330522953,5256.489429355064,18980.936111113813
154,22.408155819705154,5234.364523427261,18994.475905849577
155,22.523154375067747,5212.022307222187,19007.277545032543
156,22.631487966688045,5189.469392161068,19019.337240451714
157,22.733124536913373,5166.712452014312,19030.651423449195
158,22.828034009847425,5143.758220926634,19041.216745976213
159,22.91618830025021,5120.613491424309,19051.030081583853
160,22.99756132184893,5097.285112405161,19060.088526348223
161,23.072128995057334,5073.77998711186,19068.389399729782
162,23.139869254101242,5050.1050710891395,19075.93024536655
163,23.20076205354816,5026.2673701255435,19082.70883180098
164,23.254789374239067,5002.273938180299,19088.723153140294
165,23.30193522862055,4978.131875295939,19093.97142965004
166,23.342185665475796,4953.848325497274,19098.452108280766
167,23.37552877405297,4929.430474677379,19102.16386312758
168,23.401954687589807,4904.885548471154,19105.105595822497
169,23.421455586233343,4880.220810117154,19107.276435859494
170,23.43402569935392,4855.443558308275,19108.67574085208
171,23.439661307252845,4830.561125031957,19109.303096723386
172,23.43836074226306,4805.580873400525,19109.158317828726
173,23.43012438924268,4780.5101954723295,19108.241447010496
