city1,city2,globe,bipolar_sigmoid,pct_err
Accra,Nairobi,4181,6250,49.5
Singapore,Nairobi,7455,11059,48.3
Accra,Lima,8718,12782,46.6
Nairobi,São Paulo,9283,13469,45.1
Nairobi,Perth,8899,12875,44.7
Singapore,Johannesburg,8659,12504,44.4
Nairobi,Buenos Aires,10402,14922,43.5
Singapore,Cape Town,9667,13826,43.0
Quito,Cape Town,10632,15144,42.4
Accra,São Paulo,5989,8471,41.4
Accra,Santiago,8570,12102,41.2
Accra,Quito,8713,12288,41.0
Nairobi,Santiago,11540,16204,40.4
Accra,Buenos Aires,7549,10511,39.2
Nairobi,Lima,12565,17426,38.7
Quito,Johannesburg,11642,16134,38.6
Nairobi,Sydney,12152,16740,37.8
Quito,São Paulo,4307,5923,37.5
Singapore,Mumbai,3904,5336,36.7
Cape Town,Lima,9757,13176,35.0
Singapore,Auckland,8417,11272,33.9
Accra,Perth,12787,17125,33.9
Nairobi,Quito,12818,17057,33.1
Mumbai,Nairobi,4542,6030,32.8
Mexico City,São Paulo,7432,9848,32.5
Nairobi,Auckland,13953,18491,32.5
Mumbai,Sydney,10157,13456,32.5
Johannesburg,Lima,10878,14418,32.5
Quito,Auckland,11480,15187,32.3
Singapore,Accra,11542,15209,31.8
Singapore,Sydney,6306,8307,31.7
Mexico City,Auckland,10956,14430,31.7
Cairo,São Paulo,10219,13406,31.2
Mumbai,Auckland,12297,16046,30.5
Lima,São Paulo,3454,4506,30.4
Dubai,São Paulo,12226,15927,30.3
Los Angeles,São Paulo,9906,12825,29.5
Accra,Johannesburg,4666,6043,29.5
Mumbai,Accra,8028,10379,29.3
Mexico City,Sydney,12973,16733,29.0
Dubai,Sydney,12049,15523,28.8
Mumbai,Cape Town,8243,10570,28.2
Mumbai,Johannesburg,6983,8953,28.2
Cairo,Perth,11265,14422,28.0
Dubai,Singapore,5837,7466,27.9
Beijing,Johannesburg,11706,14925,27.5
Dubai,Perth,9037,11506,27.3
Mexico City,Cape Town,13699,17413,27.1
Cairo,Buenos Aires,11813,15017,27.1
Mumbai,São Paulo,13774,17475,26.9
Dubai,Accra,6281,7967,26.8
New York,Johannesburg,12840,16252,26.6
Johannesburg,Chapel Hill,13145,16622,26.5
Cairo,Santiago,12804,16187,26.4
Moscow,São Paulo,11806,14913,26.3
Los Angeles,Lima,6725,8468,25.9
Los Angeles,Sydney,12074,15198,25.9
Dubai,Buenos Aires,13646,17165,25.8
Toronto,Johannesburg,13338,16776,25.8
Quito,Sydney,13608,17115,25.8
Tokyo,Johannesburg,13535,17014,25.7
Cairo,Lima,12423,15618,25.7
Mexico City,Quito,3135,3924,25.2
Cape Town,Chapel Hill,12732,15911,25.0
Chicago,Johannesburg,13983,17416,24.6
Dubai,Mumbai,1935,2409,24.5
Dubai,Auckland,14202,17656,24.3
Mumbai,Perth,7290,9049,24.1
Mexico City,Johannesburg,14585,18099,24.1
Reykjavik,Perth,15413,19094,23.9
Beijing,Cape Town,12956,16054,23.9
New York,Cape Town,12564,15567,23.9
Accra,Sydney,15706,19422,23.7
Singapore,Cairo,8260,10189,23.4
Helsinki,São Paulo,11306,13935,23.3
Mumbai,Buenos Aires,14935,18417,23.3
Auckland,Chapel Hill,13584,16744,23.3
Toronto,Cape Town,13101,16133,23.1
Tokyo,Singapore,5312,6534,23.0
Berlin,Perth,13576,16704,23.0
Stockholm,Perth,13446,16534,23.0
Cairo,Sydney,14416,17712,22.9
Chicago,Cape Town,13667,16794,22.9
Dubai,Santiago,14753,18096,22.7
Mexico City,Accra,10732,13160,22.6
Los Angeles,Auckland,10497,12870,22.6
Paris,Lima,10255,12567,22.6
Chicago,Auckland,13192,16146,22.4
Paris,Perth,14278,17472,22.4
Tokyo,Lima,15496,18960,22.4
Helsinki,Perth,13095,16020,22.3
London,Perth,14479,17696,22.2
Moscow,Santiago,14131,17261,22.1
Berlin,Lima,11098,13534,21.9
Helsinki,Santiago,13482,16436,21.9
Mumbai,Cairo,4358,5303,21.7
Helsinki,Sydney,15201,18501,21.7
Moscow,Sydney,14496,17644,21.7
Los Angeles,Buenos Aires,9851,11992,21.7
New York,Auckland,14194,17240,21.5
London,Lima,10170,12357,21.5
Mexico City,Buenos Aires,7392,8977,21.5
Toronto,Auckland,13889,16877,21.5
Moscow,Buenos Aires,13475,16355,21.4
Berlin,Santiago,12526,15197,21.3
Tokyo,Cape Town,14728,17869,21.3
Dubai,Cairo,2423,2939,21.3
Stockholm,São Paulo,10927,13256,21.3
Stockholm,Santiago,13087,15863,21.2
Los Angeles,Quito,5624,6808,21.1
Accra,Auckland,16502,19988,21.1
Berlin,São Paulo,10253,12411,21.1
Stockholm,Lima,11447,13846,21.0
Helsinki,Lima,11829,14319,21.0
Stockholm,Sydney,15596,18849,20.9
Mexico City,Lima,4255,5143,20.9
Moscow,Perth,12219,14762,20.8
Los Angeles,Perth,15024,18156,20.8
Johannesburg,São Paulo,7429,8970,20.7
Moscow,Lima,12644,15259,20.7
Chicago,Sydney,14876,17939,20.6
Reykjavik,Sydney,16616,20010,20.4
Paris,Santiago,11649,14022,20.4
Helsinki,Buenos Aires,12946,15505,19.8
Dubai,Lima,14811,17693,19.5
London,Santiago,11673,13924,19.3
Singapore,Buenos Aires,15882,18931,19.2
Sydney,Chapel Hill,15476,18438,19.1
Cairo,Accra,4267,5080,19.1
Mumbai,Santiago,16071,19118,19.0
Berlin,Buenos Aires,11909,14147,18.8
Toronto,Sydney,15568,18489,18.8
Stockholm,Buenos Aires,12560,14901,18.6
Cape Town,São Paulo,6344,7524,18.6
Beijing,Lima,16648,19746,18.6
Reykjavik,Auckland,16781,19893,18.5
Beijing,Auckland,10406,12291,18.1
Santiago,São Paulo,2586,3054,18.1
Berlin,Sydney,16094,19014,18.1
Mexico City,Perth,16264,19187,18.0
Los Angeles,Santiago,8998,10611,17.9
Nairobi,Cape Town,4102,4836,17.9
Paris,São Paulo,9402,11078,17.8
Beijing,Nairobi,9215,10853,17.8
Singapore,São Paulo,15987,18820,17.7
Santiago,Buenos Aires,1139,1340,17.7
Cape Town,Johannesburg,1262,1484,17.6
Moscow,Auckland,16198,19032,17.5
Sydney,Perth,3291,3865,17.4
Helsinki,Auckland,16658,19553,17.4
Accra,Chapel Hill,8641,10146,17.4
New York,Sydney,15988,18771,17.4
Los Angeles,Cape Town,16050,18830,17.3
Paris,Buenos Aires,11050,12926,17.0
Singapore,Santiago,16400,19161,16.8
Tokyo,Nairobi,11248,13130,16.7
Tokyo,Mumbai,6720,7836,16.6
Dubai,Cape Town,7639,8899,16.5
Chicago,São Paulo,8408,9798,16.5
Cairo,Quito,11906,13869,16.5
Quito,Buenos Aires,4360,5080,16.5
Sydney,Auckland,2156,2504,16.2
Stockholm,Auckland,17008,19744,16.1
London,São Paulo,9497,11025,16.1
Quito,Perth,16138,18706,15.9
Los Angeles,Chapel Hill,3552,4112,15.8
Mumbai,Lima,16705,19333,15.7
Cairo,Auckland,16569,19173,15.7
London,Buenos Aires,11127,12867,15.6
Los Angeles,Johannesburg,16674,19262,15.5
London,Sydney,16994,19556,15.1
New York,Accra,8240,9481,15.1
Beijing,Mumbai,4744,5447,14.8
Paris,Sydney,16961,19460,14.7
Tokyo,Quito,14439,16499,14.3
Perth,Auckland,5346,6105,14.2
Tokyo,Beijing,2089,2386,14.2
Mexico City,Santiago,6610,7543,14.1
São Paulo,Chapel Hill,7439,8472,13.9
Los Angeles,Mexico City,2491,2836,13.9
Dubai,Beijing,5843,6656,13.9
Perth,Johannesburg,8314,9458,13.8
Reykjavik,Lima,9650,10958,13.6
Dubai,Johannesburg,6419,7293,13.6
Johannesburg,Buenos Aires,8088,9192,13.6
Dubai,Nairobi,3553,4030,13.4
New York,Los Angeles,3935,4464,13.4
Mexico City,Nairobi,14816,16788,13.3
Chicago,Accra,9381,10621,13.2
Toronto,Accra,8709,9849,13.1
Chicago,Los Angeles,2804,3171,13.1
Los Angeles,Singapore,14122,15960,13.0
New York,Chicago,1144,1292,13.0
Accra,Cape Town,4811,5437,13.0
Auckland,Lima,10769,12169,13.0
Reykjavik,Johannesburg,10940,12348,12.9
Nairobi,Chapel Hill,12399,13999,12.9
Tokyo,Santiago,17239,19445,12.8
Tokyo,Dubai,7930,8948,12.8
Beijing,São Paulo,17599,19843,12.7
Mexico City,Chapel Hill,2684,3019,12.5
Cape Town,Buenos Aires,6870,7723,12.4
Buenos Aires,Lima,3137,3525,12.4
Los Angeles,Toronto,3494,3920,12.2
