year,observed_deg,quadratic_pred,precession_pred
1900,20.28,19.691,22.872
1905,19.88,19.659,21.916
1910,19.48,19.575,21.0
1915,19.08,19.438,20.122
1920,19.38,19.248,19.281
1925,18.98,19.006,18.475
1930,18.18,18.711,17.703
1935,17.94,18.363,16.963
1940,17.74,17.962,16.254
1945,17.38,17.509,15.574
1950,16.94,17.003,14.923
1955,16.42,16.444,14.3
1960,15.66,15.832,13.702
1965,15.1,15.168,13.129
1970,14.58,14.451,12.58
1975,14.02,13.681,12.055
1980,13.42,12.858,11.551
1985,12.58,11.983,11.068
1990,11.74,11.055,10.605
1995,10.22,10.074,10.162
2000,9.72,9.04,9.737
2005,7.22,7.954,9.33
2010,5.74,6.815,8.94
2015,4.74,5.623,8.567
2020,4.24,4.378,8.209
2025,3.94,3.081,7.865
